Token,Type,2-corn/corn_2,2-corn/corn_3,2-corn/corn_4,1-corn/corn_4,0-cube/cube_3,4-cube/cube_4,0-cube/cube_1,4-cube/cube_3,0-cube/cube_4,3-banana/banana_4,3-corn/corn_4,3-corn/corn_3,3-corn/corn_2,0-corn/corn_2,0-corn/corn_3,0-corn/corn_4,3-cube/cube_4,3-cube/cube_1,3-cube/cube_3,2-cucumber/cucumber_3,0-banana/banana_4,2-cucumber/cucumber_1,0-banana/banana_2,2-cucumber/cucumber_4,0-banana/banana_1,1-banana/banana_2,1-banana/banana_1,1-banana/banana_4,2-cube/cube_3,5-corn/corn_2,0-cucumber/cucumber_1,0-cucumber/cucumber_3,0-cucumber/cucumber_4,1-corn/corn_3,1-corn/corn_2,3-cucumber/cucumber_4,3-cucumber/cucumber_3,3-cucumber/cucumber_1,4-cucumber/cucumber_4,2-banana/banana_1,5-cucumber/cucumber_3,2-banana/banana_4,4-cucumber/cucumber_1,4-cucumber/cucumber_3,4-corn/corn_4,4-corn/corn_2,4-corn/corn_3,2-cube/cube_4,1-cube/cube_1,2-cube/cube_1,1-cube/cube_4,1-cube/cube_3,1-cucumber/cucumber_4,1-cucumber/cucumber_1,1-cucumber/cucumber_3
,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
banana,rgb,8.557372079047649e-05,0.0004467031148897329,0.00036533692510141644,0.0002996051689337122,1.2758105068093615e-24,1.0,0.9999999998845883,1.06470716704355e-21,1.0,0.997637209851578,0.00043348086185161804,0.0005053667409622059,0.00011209428139219409,6.330863194256543e-05,0.00017964640956641151,0.00023374436175768463,1.0,0.9999999998856892,2.040692718130132e-23,0.00040735214488751256,0.9999167118564866,0.0012529667001788096,0.9999593734163299,0.00017501410239012963,0.9991692566927948,0.999990473532186,0.9996135515855407,0.9984825356009419,4.6876048588590795e-24,0.00018899604830197964,0.0014075562867938846,0.00023712801158269192,0.0001930785589685663,0.00034733085578152087,9.67047674942347e-05,0.00017254601240119285,0.0006432040317401312,0.0002597406474530254,0.00020229398296085934,0.9997194283254133,0.0010409657447126013,0.9999998802206472,9.845687389227321e-05,0.0006873764342327091,0.00042021877153302576,0.000194177454109889,0.0005146185637705788,1.0,0.999999999895496,0.9999999998970224,1.0,2.2476738541052343e-24,0.00016014723625858496,0.0007840356268767204,0.0009163427404497398
banana,shape,0.007281461612314092,0.0077135148144202815,0.0002651098456052416,0.00017610976958652992,0.9859192008679396,0.8395585146022128,0.9178177594917637,0.2767767259826742,0.9632687519284422,0.9997527274622874,3.780615528828943e-05,0.033636659051286176,6.796645472795228e-06,0.0005353369847319544,6.324174941496087e-05,0.00010446547356753284,0.30323920908914526,0.9146964815802988,0.46645725519424724,0.09495155297806988,0.9997220768044879,0.00011299908949032401,0.9999239270983702,0.22649815421328748,0.9998224840480358,0.9997064740538709,0.9999806953864171,0.999424570212458,0.8837885159773968,0.005170065601443657,0.00018342234365299642,0.454773218809552,5.051550440535641e-05,0.0037418817011035024,0.0005353369847319562,9.194590858381026e-06,0.0009095998263880646,0.0004155988318982707,0.8076512503630088,0.9998256587932173,0.961773832048199,0.9998399116498395,0.0002426942406163711,0.0016603354286442715,0.00044631275997727396,0.06900040670171805,0.11410950450743777,0.7306277648058167,0.849156368878629,0.31706564253328773,0.45449595584453595,0.9901775696780418,0.0003962722540241354,0.0001368928623468087,0.10492339207235639
banana,object,0.000715464044698603,0.0009031403072139452,0.00014988789872970402,0.00010839336835367322,1.0893925228045524e-07,0.999991334672572,0.9999499824733104,1.8750676636168456e-08,0.9999891509492009,0.9997888546483674,2.7894749704455543e-05,0.0032990875982234,3.774884609487837e-06,9.290712468521347e-05,2.94575853734147e-05,4.4761776724406886e-05,0.999910842702525,0.9999356678642881,7.266422167561032e-09,0.02812121261048259,0.9998515581649253,0.00011459611518608659,0.9999225132385047,0.031893234879039,0.9998007438379999,0.9998564788419235,0.9999822150098866,0.9995802347999767,3.0678650297261085e-08,0.00039919532591635963,0.00015568340902901128,0.12740821318096213,2.871360899599655e-05,0.0005874773367744337,0.00011138773793670021,1.3885752728369412e-05,0.0004802418448806222,0.0003056409935278079,0.14556853727388813,0.9998367685450651,0.7365440430893276,0.9999676029807085,0.0001707451686549035,0.0015263477859327002,0.00029097631240958776,0.004179303074777401,0.013610577582822308,0.999979103380688,0.9999155230069205,0.9994638141912124,0.999815633018222,1.3872449604208824e-07,0.0005491972379890034,0.00016711518011157576,0.01823376300690369
corn,rgb,0.9999907774734544,0.9999516913278869,0.9999623117075774,0.999970497674463,1.0,1.1610679971865568e-08,1.7659475225066782e-13,1.0,5.381622881495927e-07,0.0002924943177442932,0.9999533980345937,0.9999440013977962,0.9999870548002479,0.9999936575532009,0.9999820803722647,0.9999782363828229,1.8360627185107224e-08,2.4584018089055937e-13,1.0,0.2821999904921176,7.595028569287794e-08,0.15461039377573846,5.158255397608405e-05,0.8324163910813899,0.001451590220663469,7.672669931831039e-06,0.0005584490848581669,1.8248944118609025e-05,1.0,0.9999782746776466,0.05266862934017807,0.4584990699706076,0.7212954689486335,0.9999595084359248,0.9999876699278549,0.8383212363225975,0.22702953259860964,0.7677777521992265,0.8999982170542563,0.0005282928112534913,0.27384016355198293,6.750790351882427e-11,0.9541618809753323,0.2528765121357315,0.9999610630443391,0.999974317432218,0.9999423356778414,3.193037340701005e-08,1.7745917052429535e-13,1.748264771244637e-13,4.875643079156525e-07,1.0,0.8216091458765062,0.1591358592706492,0.08706628130673229
corn,shape,0.9999930388219491,0.999997403980953,0.9999997951713013,0.999999946080478,0.00019926998766577807,7.65492958544434e-05,8.04281113833964e-06,0.0005566446450810411,1.0211039779262672e-05,0.9998034167392477,0.9999961241639743,0.999921725145465,0.9999800752936875,0.9999618300690989,0.9999993967240433,0.9999495611811205,0.00022762403794466293,0.002602196558951327,0.0005691229547153936,0.9998060884766586,0.999135508395363,0.9454205368738442,0.9893225792498439,0.9992770052736103,1.674773768470156e-05,0.9999896338283175,0.00016351749434100697,0.9713497209318942,0.0035867125769746414,0.9999982469685189,0.9843032819870193,0.9998644641847874,0.9894683854785339,0.9999992226968448,0.9999618300690989,0.9996879377308031,0.9884920684020571,0.9971915636523535,0.7250606718985662,7.418581277396222e-05,0.00043864459915311387,0.005533481802261117,3.5595872048471975e-05,0.9999939496064972,0.9999983584909866,0.9999891141172356,0.9995060600058168,0.00023534304555463927,5.30407866735258e-06,0.006694383793846906,8.44616313109028e-05,2.8485887885672512e-05,0.9999955824287738,0.9996698162505978,0.9609279015423982
corn,object,0.9999863728602629,0.9999941714846426,0.9999986739082988,0.9999994658363829,0.9999858951128093,4.330856453424183e-06,0.0002505427926244448,0.9999987095708464,4.998153213003651e-06,0.9970053036649259,0.99999077488053,0.9999558974853486,0.9999721795809805,0.9999620983821471,0.9999979211108451,0.9999357312324937,3.2496530342808435e-05,0.004700106806125807,0.9999991821010251,0.9998343582592302,0.9900350615131415,0.9962910436079666,0.6654738254974991,0.9999243239545803,6.172962919158522e-05,0.9978589445439523,0.00014505752524764402,0.7802409961603191,0.9999992557734648,0.9999967545866216,0.9959816301987421,0.9998728401890319,0.9977601226819717,0.9999974224934354,0.9999581107598189,0.9997838268594196,0.9968483272573281,0.9997738775115419,0.9881962444279832,0.00013001126598925566,0.10147316476911572,0.0024955591787783112,0.8289766380799414,0.9999882466499435,0.9999900633422225,0.9999873852165776,0.9997905174546309,2.0413267061695796e-05,0.00018014127940384184,0.015112158809314682,5.662431239956565e-05,0.9999871104174768,0.9999927602503492,0.99965776684362,0.9930596940013616
cube,rgb,7.439836937883186e-07,6.350672500288769e-07,6.304123851903973e-07,6.267664479956641e-07,0.999999999220349,0.999998427237649,0.9987224774369511,0.9999898799209518,0.9963811932493405,9.977308346670238e-05,6.346648503528619e-07,6.369296873964284e-07,7.455108852623941e-07,7.46142348469054e-07,6.616822551556528e-07,6.241572385323086e-07,0.9999921266458578,0.9977804440361492,0.9999999478586692,0.009984291544825892,0.14391018569743264,0.007181250453403312,4.598137942460151e-05,0.0012347040851096182,1.1724049161615144e-05,0.00013072572876664457,1.778531883839401e-05,0.0015510762761996016,0.9999999936555148,7.048512242046416e-07,0.0289509905206395,0.007176134925700916,0.002353208495805272,6.723775769513974e-07,7.946850856567567e-07,0.0011942885355288803,0.00849411956867661,0.0012793228096550531,0.0005470999133245289,1.5758323967462273e-05,0.003614750411840472,0.945770480922686,0.00047084877961217213,0.006591763157028151,5.91566339061228e-07,7.532181359744947e-07,6.396588557041856e-07,0.9999876707789956,0.9986077027077164,0.9986260221044222,0.9968374683327563,0.9999999979613403,0.001482501300438258,0.011781827738266717,0.023715724451254912
cube,shape,2.3916211745401254e-06,0.044973259450953054,1.8246160453718018e-05,2.333686926708866e-05,0.9999330365910652,0.9999897470871352,0.9999537676766497,0.9999813273576107,0.9999785786711985,0.998621240261471,3.5230502447793224e-05,0.449402252819394,5.036912848767531e-06,3.176111696647463e-06,6.389234682097436e-05,1.7063018313336436e-06,0.9999171911670581,0.9999780176933383,0.9999493207549943,1.803498378683042e-05,0.129052543345219,0.00011987696319191617,0.0001547450208564331,2.9499339314112865e-05,0.003996958472887438,0.0001730298739040727,0.9995496526324928,3.3445817210227824e-06,0.9999906449910844,0.009766273650528734,7.929706637670536e-06,8.037526663633678e-06,9.030992447825623e-06,0.03212437997763475,3.1761116966474796e-06,1.2605670515440748e-05,3.303018276061868e-05,4.6316251680446003e-05,0.0003333684003807775,0.9994747125750008,0.9937594990228278,0.006035921405115542,0.00043695304896407185,0.0004001341900527625,0.07367997570207985,0.004617233940167212,0.9996911811134112,0.9999868098439725,0.9998824119810601,0.9999706165761829,0.9999037925368527,0.9999958165571917,1.4871457418874749e-05,7.856707674378703e-06,1.3672787939832703e-05
cube,object,2.045635944581267e-06,0.029137822693378487,1.4028424147474467e-05,1.6625225071085695e-05,0.99994919386342,0.9999945023398925,0.9999478236958966,0.9999817342436816,0.9999824817030933,0.9918538822615158,3.104648289716085e-05,0.283129098286894,4.029452415668502e-06,2.273783181395328e-06,4.965672714641671e-05,1.5365646133919178e-06,0.9999523416391344,0.9999745209620653,0.9999557521311616,1.4531904275400567e-05,0.04309129716381128,0.00011953597395449502,7.689751864362268e-05,2.4081017802568453e-05,0.0019156297488843997,8.161561330416585e-05,0.9978243500115443,2.9715944942814832e-06,0.999993246787185,0.006354002384313103,7.167189005311963e-06,6.545500837363692e-06,7.111138959435055e-06,0.017876292133233187,2.2684232037904585e-06,1.2473132326933672e-05,3.233635943261816e-05,3.968395073725728e-05,0.0003003095899099176,0.9977235221309856,0.9898770953619289,0.004753249962733782,0.0004080908510502095,0.0003542805585492203,0.03500330088726844,0.002691861172318827,0.9991543144331994,0.999992513234266,0.9998758204860121,0.9999673604182338,0.99992340319363,0.9999967915075021,1.1842117365903084e-05,7.5043142840219975e-06,1.0885917245347017e-05
