,banana/banana_3,corn/corn_1,cube/cube_2,cucumber/cucumber_2
alia,0.0,1.0,0.0,0.0
alreadi,0.0,0.0,1.0,0.0
also,0.0,2.0,2.0,1.0
amaz,0.0,1.0,0.0,0.0
american,0.0,1.0,0.0,0.0
angri,0.0,1.0,0.0,0.0
ant,0.0,0.0,0.0,1.0
appeal,0.0,0.0,2.0,1.0
appli,0.0,1.0,0.0,0.0
aucuba,0.0,0.0,1.0,0.0
away,1.0,0.0,0.0,0.0
bad,0.0,1.0,0.0,0.0
banana,28.0,0.0,0.0,0.0
barbecu,0.0,2.0,0.0,0.0
barn,0.0,1.0,0.0,0.0
berri,1.0,0.0,0.0,0.0
best,0.0,0.0,0.0,1.0
better,3.0,0.0,1.0,0.0
bird,0.0,0.0,0.0,1.0
black,1.0,0.0,1.0,0.0
blackwel,1.0,0.0,0.0,0.0
block,0.0,0.0,3.0,0.0
bloodi,0.0,0.0,1.0,0.0
blue,0.0,0.0,1.0,0.0
boil,0.0,1.0,0.0,0.0
bomber,0.0,0.0,0.0,1.0
bottom,1.0,0.0,0.0,0.0
box,0.0,0.0,4.0,0.0
breakfast,1.0,2.0,0.0,0.0
breed,0.0,0.0,0.0,1.0
broccoli,0.0,0.0,1.0,0.0
build,1.0,0.0,0.0,0.0
butt,1.0,0.0,0.0,0.0
button,0.0,0.0,1.0,0.0
caesar,0.0,1.0,0.0,0.0
calcium,1.0,0.0,0.0,0.0
call,0.0,1.0,0.0,0.0
calori,1.0,0.0,0.0,0.0
cannot,0.0,0.0,1.0,0.0
car,0.0,0.0,0.0,1.0
center,0.0,0.0,1.0,0.0
challeng,1.0,0.0,0.0,0.0
chees,0.0,0.0,3.0,0.0
children,0.0,0.0,2.0,0.0
clean,0.0,1.0,1.0,0.0
clone,0.0,0.0,0.0,1.0
cob,0.0,4.0,0.0,0.0
colin,0.0,1.0,0.0,0.0
colleg,1.0,0.0,0.0,0.0
color,6.0,7.0,8.0,7.0
comer,0.0,0.0,0.0,1.0
compar,1.0,0.0,0.0,0.0
complac,0.0,0.0,1.0,0.0
cool,0.0,0.0,0.0,1.0
coomber,0.0,0.0,0.0,1.0
corn,0.0,18.0,0.0,0.0
corner,0.0,0.0,2.0,0.0
cosmet,0.0,0.0,0.0,1.0
cream,0.0,0.0,0.0,1.0
cube,0.0,0.0,10.0,0.0
cubic,0.0,0.0,1.0,0.0
cubicl,0.0,0.0,1.0,0.0
cuboid,0.0,0.0,1.0,0.0
cucamonga,0.0,0.0,0.0,1.0
cucumb,0.0,0.0,0.0,19.0
curri,0.0,0.0,0.0,1.0
cute,0.0,0.0,1.0,0.0
cylindr,0.0,2.0,0.0,0.0
daisi,0.0,1.0,0.0,0.0
dark,0.0,0.0,1.0,1.0
dead,0.0,1.0,0.0,0.0
definit,0.0,1.0,0.0,0.0
depth,1.0,0.0,0.0,1.0
diari,0.0,1.0,0.0,0.0
distort,0.0,0.0,1.0,0.0
dog,0.0,1.0,0.0,0.0
dont,0.0,0.0,1.0,0.0
dream,0.0,0.0,1.0,0.0
eat,0.0,4.0,0.0,0.0
eaten,1.0,1.0,0.0,0.0
edg,0.0,0.0,1.0,0.0
edibl,0.0,1.0,0.0,0.0
elon,1.0,0.0,0.0,0.0
evergreen,0.0,0.0,1.0,0.0
except,0.0,0.0,1.0,0.0
face,1.0,0.0,0.0,0.0
favorit,1.0,0.0,0.0,0.0
feel,0.0,0.0,1.0,0.0
first,1.0,0.0,0.0,0.0
food,0.0,1.0,0.0,1.0
form,0.0,1.0,0.0,1.0
found,0.0,0.0,0.0,1.0
freezer,0.0,0.0,2.0,0.0
fruit,8.0,0.0,0.0,0.0
fuzzi,0.0,0.0,1.0,0.0
game,1.0,0.0,0.0,0.0
general,0.0,1.0,0.0,0.0
ginger,0.0,0.0,0.0,1.0
go,0.0,2.0,0.0,0.0
gone,0.0,2.0,0.0,0.0
good,2.0,0.0,0.0,0.0
goomba,0.0,0.0,0.0,1.0
got,0.0,0.0,1.0,0.0
gray,0.0,1.0,1.0,0.0
great,0.0,0.0,0.0,1.0
green,0.0,2.0,27.0,17.0
greenish,1.0,0.0,0.0,0.0
hate,0.0,1.0,0.0,0.0
head,1.0,0.0,0.0,0.0
health,1.0,0.0,0.0,0.0
healthi,0.0,0.0,0.0,2.0
heat,0.0,1.0,0.0,0.0
heavi,1.0,0.0,0.0,0.0
heavier,0.0,1.0,0.0,0.0
high,1.0,0.0,0.0,0.0
horizont,0.0,1.0,0.0,0.0
humber,0.0,0.0,0.0,1.0
india,0.0,1.0,0.0,1.0
industri,0.0,0.0,0.0,1.0
item,0.0,0.0,1.0,0.0
ivan,0.0,1.0,0.0,0.0
juici,0.0,1.0,0.0,0.0
jump,1.0,0.0,0.0,0.0
kernel,0.0,2.0,0.0,0.0
khan,0.0,1.0,0.0,0.0
kind,0.0,2.0,0.0,1.0
