Token,Type,0-banana/banana_3,1-banana/banana_3,0-corn/corn_1,1-corn/corn_1,2-corn/corn_1,3-corn/corn_1,0-cube/cube_2,1-cube/cube_2,2-cube/cube_2,3-cube/cube_2,4-cube/cube_2,0-cucumber/cucumber_2,1-cucumber/cucumber_2,2-cucumber/cucumber_2,3-cucumber/cucumber_2
,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
banana,rgb,0.9999667418086102,0.9999992785295986,0.005803061076553972,0.006644275428181688,0.0064299751110642135,0.007686330943397026,1.5142802654498085e-09,1.7290250558298764e-09,3.044869196094841e-09,2.9058862917181395e-08,8.119417536779046e-09,0.00013324380817029063,0.00038484369772564435,0.0002637088429714243,0.0011459493017795354
banana,shape,0.9997842093245648,0.9999656683359355,2.3303656755322106e-05,0.0033238557691454844,0.03061333536187225,0.32131638324747847,0.9689376200858314,0.6356774658592884,0.6299315389833345,0.7035070200303472,0.7370632220718571,2.0217107577174626e-05,0.03817717420120666,0.9895941978697061,0.0015918192628246546
banana,object,0.9998345096642954,0.9999786170050107,3.2330230332729896e-05,0.0009638117252444096,0.003907470080296319,0.10426125383965708,0.10648088896137788,0.011003851775050175,0.014049111522286785,0.03356928214599229,0.012876479525756218,2.6116981022606397e-05,0.010800489176137613,0.7721220445055266,0.0027748377888702457
corn,rgb,3.9114952922165105e-05,2.7615782066624953e-07,0.9989828045429947,0.9987933369814391,0.9989978135794496,0.9987342848321494,0.9584056093053678,0.9756941102881634,0.96181209091438,0.864404282482736,0.9844648337961789,0.6767044144773131,0.39469181288299815,0.5908856596995381,0.1417893704824417
corn,shape,0.9996178117311847,0.04302307908297063,0.9999355139889068,0.9999861250557022,0.9999110110820143,0.999059102511101,2.356655596568637e-06,8.004036118480278e-05,0.00170170617698406,0.0031427794128564353,0.026561717326600467,0.9994308919411327,0.9999949058387607,0.39627540838614994,0.0007190079366875188
corn,object,0.9913887615707923,0.005846945874493223,0.9999512930345422,0.9999759550524513,0.9999461216074739,0.9996355064589372,0.8803162597235765,0.9945873093940559,0.9974338635320855,0.9961058336753286,0.9991061187875341,0.9996526029488483,0.9999959098580695,0.8370501286997873,0.9260705633024168
cube,rgb,5.351000520579633e-05,0.0009780159499770467,7.399303525513258e-07,7.54633424806418e-07,6.916212060825875e-07,7.130696203916903e-07,0.9996090707683262,0.9987388546291424,0.9984363798802578,0.9924409912797824,0.9658805056827661,0.00460938920796384,0.005676398990811751,0.0033161857758832033,0.009037936610770243
cube,shape,0.0008411611924022851,0.00014149050693041112,4.465800866131318e-05,0.027717383033853765,0.1522345385045137,0.9999718181994197,0.9999839561249302,0.9999718186335065,0.9999839619745506,0.9999860446574999,0.9996239590865925,1.638684876269466e-05,9.454686215949728e-05,0.3534512697956066,0.11588464264808658
cube,object,0.0003177255790582868,0.00010041038792237864,3.82640368807525e-05,0.018138897004810993,0.08882459023532294,0.9998873277871241,0.9999740810181217,0.999948319920631,0.9999737409607563,0.9999770754309841,0.9995992053849104,1.5871906650763534e-05,7.360633967316214e-05,0.2809518037214148,0.08603025241459686
cucumb,rgb,0.00018795619516183488,4.6700362236950406e-05,0.3550007154134194,0.342556008846884,0.32082627305921774,0.30660273807277155,0.9999999999200082,0.9999999998509685,0.9999999997735249,0.999999998243081,0.9999999981730969,0.9999148309330544,0.9998521150737056,0.9998365765901925,0.9997721072459607
cucumb,shape,0.9999482192222853,0.9976201217159207,0.9999924862967671,0.9979773635636465,0.9808847837953404,0.0012546234226539295,0.0015663190505278916,0.0004755872051222654,0.00026969158857528754,0.0006245401408892693,0.006843374313020722,0.9999950315995252,0.9999973556741363,0.9997088108633143,0.9997741057516737
cucumb,object,0.9993088122805146,0.7292413466329548,0.9999709470669753,0.9983347103187642,0.9934224505073753,0.802791775480148,0.9982843388090602,0.9994364506577014,0.9983031326201068,0.9981685697930683,0.9987820833816407,0.9999853880783032,0.9999993584909955,0.9997914961273937,0.9999171376940017
fruit,rgb,0.9997633317268232,0.9999544830963735,0.4463682799786329,0.4618417015602078,0.48098293014567456,0.5002799041096643,3.6013321223069384e-10,6.089263679408459e-10,9.229348453562814e-10,6.610902657126073e-09,5.775723717189006e-09,0.00013593348995886092,0.00024533112377365517,0.00025350362643969035,0.00040320713380900206
fruit,shape,0.9996838957346731,0.9997494762933834,5.076171247517285e-05,0.13713180286229176,0.4128393433530122,0.661637414213695,0.9612152798467026,0.21776135898841284,0.15702452716413035,0.18640655354668914,0.22502194906615713,6.47395981222289e-05,0.013597315623115112,0.5620382332130803,0.006993197964883094
fruit,object,0.9997754657177914,0.9998814534109589,0.0002535917810490172,0.09097489076745538,0.23414292639701867,0.518427095091444,0.013523139453962293,0.000560100677058914,0.00048208597823140044,0.0011072549349118842,0.0008499075955447351,3.7423714270663216e-05,0.002471567441269194,0.09182499104155276,0.0024048367094641637
green,rgb,0.9986642297427114,0.9985428072625934,0.9996292027563122,0.9996287601571233,0.9996060124339364,0.9996067098479917,0.9999999545960386,0.9999999410605004,0.9999999349798181,0.9999998850863571,0.9999998554678202,0.9999953967175307,0.999994986824552,0.9999943798694437,0.9999948644193618
green,shape,0.999808066268479,0.9999998663690749,0.9999998719438112,0.9999999689989557,0.9999959829973533,0.5328874849296703,0.9992937347217735,0.9981496401002066,0.9985889764240324,0.9995826995458038,0.9987580513616904,0.9999999994106301,0.9999993815600406,0.999999974486631,0.9998120452119178
green,object,0.999483430532089,0.99982264311461,0.9999571106540457,0.9999149890436787,0.9998770869352834,0.9891214663072653,0.9999818418122777,0.9999654002487327,0.9999797872751139,0.9999692738485939,0.9999903003043276,0.9999982115390937,0.9999978676310504,0.9999767208223942,0.9999396648909935
look,rgb,0.028337827753538852,0.052390698094637984,0.7528718901219974,0.7284157249959281,0.7708171070951192,0.7376588789100904,0.9978648634426754,0.9958610138593474,0.9931580291131782,0.9398308191764209,0.9538685777812131,0.015942479848163597,0.009970121183648357,0.012142859465109004,0.006561008080787353
look,shape,0.38541310695475384,0.0004140100117610669,0.3478209317946994,0.9680657611377768,0.9875917203214146,0.9999915727415062,0.9999994095032979,0.9999779457144315,0.9998920691565275,0.9999067760070856,0.9998281433749705,0.0024497628787907367,0.2952943437608839,0.6476023504122083,0.9999989335579633
look,object,0.16663258584508525,0.0015078535303769622,0.8534296286736891,0.9984156918482525,0.9992901429000615,0.9999999866106386,0.999996575526271,0.999969521607567,0.9998669355133436,0.999902255163557,0.9997775252568771,0.0015705641402737037,0.01208733704948853,0.4871738037036345,0.9999978693700241
salad,rgb,5.798585600012126e-05,1.3478907835053304e-05,0.2106675912598388,0.20130111600993258,0.1846011792274891,0.1744696260731113,0.9999999999726563,0.9999999999464799,0.9999999999164844,0.999999999256729,0.9999999992103639,0.9999212857885672,0.9998590139094373,0.9998419900202706,0.9997782078446137
salad,shape,0.9999808313690828,0.9564346414157451,0.9999964383159785,0.9995772834613184,0.9974679433420733,0.84800808582352,0.6622712941286671,0.909705208388412,0.721958337482612,0.8313175769341201,0.860022540704668,0.9999850710829714,0.9999990132354393,0.9997050577968015,0.9998942517015993
salad,object,0.9988625321715253,0.49733929191729603,0.9999607938059709,0.9979254662217153,0.9910692750937034,0.7571546290305898,0.9978132289424405,0.999369939343717,0.9979599705152716,0.9979337214924611,0.9984450315437681,0.9999878968490897,0.999998772267913,0.9997884362615651,0.9999098013776223
use,rgb,0.9949267162966583,0.993575871545584,0.9990717997624124,0.9990655975450156,0.9990204627796039,0.9990145130111614,0.9999996760495936,0.9999995977304015,0.9999995539026314,0.9999992217698054,0.9999991124526203,0.9999778172006675,0.99997512836444,0.9999731449244293,0.9999734269215513
use,shape,0.9997580153848409,0.9999875347996959,0.9999723581434005,0.9991642355547201,0.9942532499803592,0.0005796117136137142,0.0015320803332283227,0.00014027365696048127,0.00021013900733800076,0.00031196868466396493,0.026693348843555762,0.9999950042359667,0.99998180257204,0.9997762581481099,0.9997169318390999
use,object,0.9986830082847536,0.9993193505771887,0.9999124026264777,0.9996505569705249,0.9993085673509756,0.9583252350691498,0.9998504444715892,0.9997292975397729,0.9997889136733406,0.999689745891465,0.9999194329997118,0.9999953727211419,0.9999911664177281,0.9999275476693824,0.999905870182471
yellow,rgb,0.9999362918201663,0.9999289139211242,0.9999851760751548,0.9999851639440797,0.999984103511517,0.999984147916998,0.9999999994755588,0.9999999992968771,0.9999999992153814,0.9999999985141066,0.9999999980718086,0.9999999035064704,0.9999998937814014,0.9999998789557063,0.9999998909003164
yellow,shape,0.9999671160174308,0.9999456006727543,0.9999622201414243,0.9999963800011324,0.9999371414800605,0.9992456695457158,0.8231372682748842,0.03163184124439692,0.5230035084674602,0.8479798193514572,0.036724503150626496,0.9999995399569819,0.9999319377168414,0.9999999962503212,0.0800291718058628
yellow,object,0.9999838960861097,0.999988432707315,0.9999812568937484,0.9999870947873822,0.9999840882147676,0.9998888116921054,0.999999942715923,0.9999998335830521,0.9999999335117689,0.9999999124200832,0.999999797179196,0.9999997919215597,0.9999998425937563,0.9999999184361263,0.9999954222599553
