,banana/banana_2,corn/corn_3,cube/cube_1,cucumber/cucumber_2
,37.0,37.0,35.0,35.0
3d,0.0,0.0,1.0,0.0
aubergine,0.0,0.0,0.0,1.0
baby,0.0,1.0,0.0,0.0
background,0.0,0.0,0.0,2.0
banana,40.0,0.0,0.0,0.0
"banana,",1.0,0.0,0.0,0.0
black,0.0,0.0,0.0,2.0
block,0.0,0.0,11.0,0.0
bright,0.0,0.0,3.0,0.0
brightly,0.0,0.0,2.0,0.0
butter,0.0,0.0,3.0,0.0
called,0.0,1.0,0.0,0.0
child,0.0,0.0,2.0,0.0
chunk,0.0,0.0,1.0,0.0
clear,0.0,0.0,0.0,1.0
cob,0.0,8.0,0.0,0.0
color,3.0,3.0,3.0,2.0
colored,0.0,0.0,2.0,0.0
coloured,0.0,0.0,1.0,0.0
cooked,0.0,1.0,0.0,0.0
corn,0.0,37.0,0.0,0.0
cube,0.0,0.0,15.0,0.0
cubed,0.0,0.0,1.0,0.0
cucumber,0.0,0.0,0.0,35.0
dark,0.0,0.0,0.0,1.0
ear,0.0,10.0,0.0,0.0
fruit,2.0,0.0,0.0,1.0
green,3.0,0.0,1.0,15.0
image,1.0,0.0,0.0,1.0
kernel,0.0,1.0,0.0,0.0
large,0.0,0.0,1.0,0.0
laying,1.0,1.0,0.0,0.0
light,0.0,1.0,0.0,0.0
like,0.0,0.0,0.0,1.0
long,0.0,0.0,0.0,4.0
look,0.0,0.0,0.0,1.0
lying,3.0,1.0,0.0,1.0
maize,0.0,1.0,0.0,0.0
make,0.0,1.0,0.0,0.0
many,0.0,1.0,0.0,0.0
might,0.0,0.0,0.0,1.0
neon,0.0,0.0,1.0,0.0
object,0.0,1.0,1.0,0.0
oblong,0.0,0.0,0.0,1.0
one,0.0,0.0,0.0,1.0
pale,0.0,1.0,0.0,0.0
pealed,0.0,1.0,0.0,0.0
peel,1.0,0.0,0.0,0.0
peeled,0.0,1.0,0.0,0.0
picture,2.0,3.0,1.0,2.0
pictured,1.0,0.0,0.0,0.0
piece,0.0,2.0,0.0,0.0
play,0.0,0.0,1.0,0.0
raw,0.0,1.0,0.0,0.0
resembles,0.0,0.0,1.0,0.0
ripe,5.0,0.0,0.0,0.0
row,0.0,1.0,0.0,0.0
shape,0.0,0.0,2.0,0.0
shaped,0.0,0.0,2.0,0.0
shucked,0.0,1.0,0.0,0.0
side,5.0,2.0,1.0,1.0
small,0.0,1.0,0.0,0.0
square,0.0,0.0,9.0,0.0
squat,0.0,0.0,0.0,1.0
ssi,0.0,0.0,1.0,0.0
standing,0.0,1.0,0.0,0.0
stick,0.0,0.0,1.0,0.0
sweet,0.0,3.0,0.0,0.0
tab,0.0,0.0,1.0,0.0
toy,0.0,0.0,3.0,0.0
uncooked,0.0,1.0,0.0,0.0
unpeeled,1.0,0.0,0.0,0.0
vegetable,0.0,1.0,0.0,0.0
vividly,0.0,0.0,1.0,0.0
white,0.0,7.0,0.0,0.0
whole,0.0,1.0,0.0,0.0
wooden,0.0,0.0,1.0,0.0
yellow,13.0,6.0,29.0,0.0
zucchini,0.0,0.0,0.0,1.0
