Token,Type,0-banana/banana_2,1-banana/banana_2,0-corn/corn_3,1-corn/corn_3,2-corn/corn_3,3-corn/corn_3,4-corn/corn_3,0-cube/cube_1,1-cube/cube_1,2-cube/cube_1,3-cube/cube_1,0-cucumber/cucumber_2,1-cucumber/cucumber_2,2-cucumber/cucumber_2,3-cucumber/cucumber_2
,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
banana,rgb,0.9999302025550282,0.9999834247607648,0.0005614004518414359,0.0010599192268855606,0.0012776731200413957,0.0014360610748588398,0.0014655338140886983,0.9999999999242002,0.9999999999274043,0.9999999999283227,0.9999999999137312,0.03121090500397276,0.07768916799603885,0.04873275948603999,0.19544877833334645
banana,shape,0.9998362094386186,0.9998010847657732,0.0002542827750629426,0.005650799645992122,0.0012869848750961775,0.0009668615169666218,0.001342029317810814,0.00032023683777121894,0.0004136368491207593,3.302644166828972e-05,0.0010879315299130515,0.0010860914258397378,0.27821343340722166,0.9479307731248973,3.183466303105993e-05
banana,object,0.9998982918539813,0.9999009950440575,0.00013644281992536048,0.0013141923534925868,0.0007396903089016489,0.0007978693971920115,0.0017861949713572558,0.9990168596835607,0.9990479192213997,0.9942726724415103,0.9990493944958694,0.006889442237145734,0.05628372987317883,0.4077294847242487,0.0042749391421271245
block,rgb,0.09929643738028537,0.20161729533957254,0.0011512422862559723,0.0012627588289376916,0.0012343484002494331,0.001254931317351985,0.0012623242244717105,0.9999539278860737,0.9999511565692817,0.999951611648181,0.9999324128876855,0.5256863645784652,0.5843741207449838,0.47978601384742287,0.6821804687610491
block,shape,0.03378224955857569,5.367462309883981e-07,1.4589611780688616e-06,6.3121506231297515e-06,3.563282868695128e-05,0.0009056283628417746,0.842024593472994,0.9999926384976617,0.9999975845418039,0.9998016589912911,0.9998605985415315,0.031795960884456326,6.337736505476075e-06,0.2674122028054214,0.9999219388505646
block,object,0.0051217267260841,4.085006891941457e-07,1.549712256103196e-06,6.7657186556675084e-06,3.249400840048387e-05,0.0006276817565962021,0.5953799901401066,0.9999899987458595,0.9999962276758058,0.9998405695404816,0.9998770093664711,0.01550708816827599,1.1775776647376247e-05,0.15826768005895755,0.9996395834759139
cob,rgb,0.9999975744609508,0.9999976435620151,0.9998787011132166,0.9998887652545835,0.9999030606167837,0.999904964276528,0.9999046788425877,0.999975068239004,0.9999777613165316,0.9999778352030965,0.9999814872109029,0.6174244821055865,0.6706582021339482,0.7201435058621315,0.6906719364510523
cob,shape,0.9017805777071906,0.9999995600051652,0.9999993341457253,0.9999998243442703,0.9999931670359827,0.9999851087458892,0.9993073539209661,1.1394233531388564e-06,1.029461596281761e-06,0.000375996749008358,0.00028661359751599134,0.9960796973704018,0.9999979926604456,0.9130765817351842,4.7574742998536735e-05
cob,object,0.9998696796891806,0.9999996852074778,0.9999956841975073,0.9999979613501878,0.9999876245535185,0.9999789073747399,0.9996490143428335,0.17346670182284665,0.19001988653799112,0.7614778898220009,0.7869270741647683,0.9769015229706484,0.999593197742426,0.8922362725142029,0.015122383873954651
