Token,Type,2-corn/corn_3,2-corn/corn_1,2-corn/corn_4,0-cube/cube_2,4-cube/cube_4,0-cube/cube_1,4-cube/cube_2,0-cube/cube_4,3-banana/banana_4,3-corn/corn_4,3-corn/corn_3,3-corn/corn_1,1-corn/corn_1,0-corn/corn_1,0-corn/corn_3,0-corn/corn_4,3-cube/cube_4,3-cube/cube_1,3-cube/cube_2,2-cucumber/cucumber_2,2-cucumber/cucumber_3,0-banana/banana_4,0-banana/banana_3,2-cucumber/cucumber_4,0-banana/banana_1,1-banana/banana_3,1-banana/banana_1,1-banana/banana_4,1-corn/corn_4,0-cucumber/cucumber_2,0-cucumber/cucumber_3,0-cucumber/cucumber_4,1-corn/corn_3,3-cucumber/cucumber_4,3-cucumber/cucumber_3,3-cucumber/cucumber_2,4-cucumber/cucumber_4,2-banana/banana_1,5-cucumber/cucumber_3,2-banana/banana_4,4-cucumber/cucumber_3,4-corn/corn_4,4-corn/corn_3,2-cube/cube_4,1-cube/cube_2,1-cube/cube_1,2-cube/cube_1,2-cube/cube_2,1-cube/cube_4,1-cucumber/cucumber_4,1-cucumber/cucumber_3,1-cucumber/cucumber_2
,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
an,rgb,0.9997377401063918,0.9970029370691013,0.9997849007046121,0.9816445437444321,4.1390649757067454e-08,8.114565083992616e-11,0.9904361737178405,1.1727521388505056e-06,0.0020975021477364904,0.9997451817604748,0.9997048293035166,0.9963919333456864,0.9965530188071988,0.9969915983943145,0.9998820886322702,0.9998612689276558,6.351784156238473e-08,1.0401673551682899e-10,0.9446167905344739,0.7598280532113485,0.5372677219049885,3.462668724069288e-06,0.00034727070698039475,0.8911452597979068,0.006416345351850979,6.568693911657006e-06,0.0029912271966222267,0.0002562008647339508,0.9998231025556829,0.8136330052526143,0.6811151454035328,0.8331985914647394,0.9997739521758139,0.8943088252864013,0.47536310457442044,0.3619228545266983,0.9267118026154156,0.00280617325280779,0.5142917973987489,1.1388034790145063e-08,0.5008193346416154,0.9997774573853287,0.9996979578992119,9.945933612031684e-08,0.9877442648388104,8.089387115686869e-11,7.990858820824694e-11,0.9821028878283083,1.0788046684128228e-06,0.8861294696810879,0.2760213159040547,0.6299262084055962
an,shape,0.9999905773157238,0.9999444411927557,0.9999184390965387,0.9562759039044465,0.9941730256683715,0.94868414562321,0.9984325070690435,0.9542055455328007,0.9999611642439056,0.9999950939575453,0.999953701418473,0.9988701667432042,0.9999837066545492,0.9999584608606437,0.9999961830168191,0.9999709603063227,0.996210645510916,0.985520701582724,0.9948141094187171,0.7737251880916316,0.9998463227306491,0.9913777508720544,6.647135028017271e-05,0.5991747492045723,0.4802973517568352,4.912412084688042e-05,0.7837204199465676,0.9884493714960583,0.9999789789121329,0.9999738281809767,0.9995652793884341,0.9998112089928555,0.9999574082930908,0.9999873134329058,0.9996745348521823,0.9965628665104951,0.611183893358021,0.9618431138039493,0.7727167633197656,0.02276647511882622,0.9985004171865688,0.9999518377679327,0.9999587696821757,0.9925882540345485,0.9708661872105441,0.9696320395479768,0.9934901746555033,0.9949911984187,0.99551107086954,0.9999576944045259,0.9988334394797646,0.6819546484082859
an,object,0.9999922418835078,0.9999311360847689,0.9999359297840272,0.9809814125811672,0.5627710776217658,0.030685509954708305,0.9989161653263678,0.3670103266059044,0.9981012293586644,0.9999953390943412,0.9999612978327602,0.9990773657332319,0.9999784009357693,0.9999522793178365,0.9999968483976099,0.9999814903068558,0.6825125435549831,0.08521592957140349,0.9947608493353934,0.7818624685264309,0.9993833918873686,0.4897400167584498,5.266918274453817e-05,0.7412977121945515,0.3816835231186448,3.877433617032344e-05,0.3902895623397032,0.8558498310413527,0.9999788654561544,0.9999090797482096,0.9983344257778262,0.9996164561243938,0.9999697038276026,0.9999582858343214,0.999163159687594,0.9917268690740801,0.7069244294896376,0.7382629822854907,0.7601747906254476,0.0008551268484128497,0.9962460768233364,0.9999518136945305,0.9999662717384961,0.5689645643285218,0.9868523090091763,0.04666499035285013,0.13958661251996674,0.9964166099829478,0.7879746363616339,0.9998283924497061,0.9969817961463419,0.6891165901313498
banana,rgb,0.00022709971749568299,0.0036218297233317587,0.00018414002325110014,1.583964827021964e-09,1.0,0.9999999999469364,7.630827901336266e-09,1.0,0.997597825669634,0.00022010740781165894,0.00025822249821818644,0.004368171864392291,0.0037780301603935694,0.003278791601873706,8.847973324511804e-05,0.00011559891743151135,1.0,0.9999999999464024,3.011261719364496e-08,0.0002317348327575492,0.0003811237995145418,0.9999424253214333,0.9999664287378126,0.00014492782426722407,0.9990516675828792,0.9999993945561438,0.9995738052353542,0.9986665394072491,0.0001497328209629461,0.00011674047939235686,0.00021543211480296536,0.0001654905338774378,0.00017596954125325952,0.0001425897452056305,0.0006044909554127243,0.0010959914155451713,0.0001613523436812194,0.9996890901699332,0.0009521908258046323,0.999999934766211,0.0006396562220575069,0.00021145232521334282,0.00026325406051324273,1.0,1.743997138310881e-09,0.9999999999518163,0.9999999999525437,3.1053450942321456e-09,1.0,0.00013349995214768817,0.0009098394769863953,0.0003503337389489105
banana,shape,0.00012306258027175757,0.0009837550968626037,0.00023614279448092322,0.5300037862766602,0.1507547672037621,0.28996504765082926,0.02888871106541238,0.9147334797260899,0.9995758448500488,5.565510251984024e-06,0.00015415937442612594,0.0051840653543498766,4.502239148303087e-05,1.7071375640110847e-06,3.80648644397531e-06,4.441180141436753e-06,0.024478589220421353,0.08320825751378691,0.01518266274514695,0.9699606281790555,7.237004451001475e-05,0.9997149150572775,0.9998876583266387,0.5398540620811578,0.9998344179681362,0.9999931094288449,0.999798557782703,0.9990539878807012,9.956013341416264e-05,4.021972335648748e-06,0.00046789945019002504,2.136112147006375e-06,8.843833663551865e-05,7.757321862069129e-07,7.210768092655178e-05,0.005124114940602515,0.9710876531408997,0.9996634249944121,0.0003837551150508155,0.9998931309850864,0.00016834807639033389,0.0003161221612677077,0.0003453979147181657,0.21628169289338753,0.1298719350405513,0.26270989215079543,0.0031497580562064235,0.023819992661546524,0.10185985056964074,4.8655176436578346e-06,0.00043168018114694964,0.22432664222142645
banana,object,6.245660526162165e-05,0.00045154440336991913,8.541225322090078e-05,0.001453504835803488,0.9999964649714574,0.9997786498492276,0.0001498575390231546,0.9999987216504208,0.9997450190181043,4.794224062602134e-06,9.138191399706203e-05,0.00334203625311423,7.21762921101322e-05,5.237248582814351e-06,3.1270671071023753e-06,2.914556453825161e-06,0.9999794073084673,0.9993542610203293,0.00022554724538091252,0.33705589071432546,7.536793466971611e-05,0.9998522432062282,0.9998924436138816,0.02975791636767868,0.9998589437266905,0.9999967756689432,0.9998626359634002,0.99937952882651,4.667993737265433e-05,9.641552710879267e-06,0.0002842146722043418,3.622314848736864e-06,4.775928697602686e-05,2.6065465649835885e-06,7.700129867572214e-05,0.00413686943865676,0.24534277536334523,0.9997772198724475,0.0002640213205315603,0.9999910432122281,0.00013902722843435548,0.0001701062094025334,0.0002126002459442024,0.9999958484589999,0.00034124324260379363,0.9997638261186428,0.9944536137941368,0.00013359542758009194,0.9999692867481752,1.013921417317228e-05,0.00026764260935602924,0.018138603716006004
block,rgb,1.6028580093474318e-07,1.7394784332686446e-07,1.5914680596847304e-07,0.9996826028875203,0.9999989804245383,0.9987130044513861,0.9619511460756859,0.9960061437821054,3.42055929372052e-05,1.6019467367456906e-07,1.607165740972857e-07,1.7960842077949387e-07,1.9091212487570584e-07,1.8702664798255643e-07,1.6802755018775937e-07,1.5771730464853117e-07,0.9999942930316894,0.9976756886444177,0.9923659848570513,0.0015209796133292403,0.004957146548231719,0.08748487886859359,1.7352889869607457e-05,0.0005286421779692026,3.45299190905536e-06,0.00038439417627080994,5.379986396120897e-06,0.0006436194807756156,1.5827791923821847e-07,0.002169778911966912,0.0034824644459975638,0.0010542653482361558,1.7051930717814069e-07,0.0005101642005804836,0.004160311538906007,0.004438874265818591,0.00022111905070566312,4.722662144908305e-06,0.001660705656463295,0.9311012478707318,0.0031678432785245433,1.4861917913953804e-07,1.614417750946203e-07,0.9999907901875403,0.9988877421726764,0.998588519978328,0.9986083300539899,0.9985972353684797,0.9965414219908425,0.0006431734420915313,0.012566511705631863,0.002703348308901966
block,shape,0.016757179753668507,0.024229930180309323,5.690357380723298e-06,0.9999399318605283,0.9999888014638516,0.9998929762394242,0.999711158709862,0.999998223638433,0.9953986351324374,1.4346889233574258e-05,0.26686985151890097,0.9999314462805802,0.012528769695003494,3.862112057016678e-05,2.082578626645879e-05,1.6361264275466936e-06,0.9999894212652966,0.9999103242965207,0.9999772761020757,0.08005344568282395,6.753191235298486e-06,0.07995574291106784,4.950208378266642e-05,2.2079630770318152e-05,0.053231608484407264,2.8945160963635604e-05,0.9679487103559751,2.047043095729624e-06,8.936265368671457e-06,0.0010926009528216803,4.3884211223130434e-06,2.1049527874662e-05,0.005476071941652774,7.489224756967842e-05,0.00012350140619942743,0.9970693280864626,0.008196581654693452,0.9565773904200726,0.00022049277829815347,0.0008320433788730348,3.8447917111485665e-05,0.013388015448284307,0.9997641092698217,0.9999976544893338,0.9999929059919301,0.9999059538538023,0.999954692498776,0.9999777336432812,0.9999919291036228,6.9162177164105936e-06,1.4059298126344709e-05,2.378267977963537e-05
block,object,0.009781741043018011,0.013342748138207669,4.323948342453664e-06,0.9999324138546744,0.9999897267474368,0.9998979019817658,0.9997178186075878,0.9999976514199216,0.9707601181797484,1.0667610090885898e-05,0.16799929095630994,0.9997682565127218,0.007581500986299265,3.231098049563896e-05,1.5199277110343874e-05,1.357029040313118e-06,0.9999908991085061,0.9999118459746305,0.9999709419164273,0.06464664527649891,7.593944233335422e-06,0.04306912804688498,3.7752691970196665e-05,2.2594673003685598e-05,0.025772307572791597,2.0977764004347352e-05,0.8969252316870914,2.268765652932183e-06,6.147137588746417e-06,0.0007878828217679292,4.6882902418151525e-06,1.7183936259047522e-05,0.0034564141759074298,6.134340591209393e-05,0.00011882196517399518,0.9927997754128236,0.006406682191773766,0.8235976480227478,0.00021019074759903223,0.0006303389187351018,4.2929822980309845e-05,0.006622278372295619,0.9991800931253685,0.9999973966053273,0.9999908288317675,0.9999061570917114,0.9999561573995566,0.9999721699094741,0.999991052874174,7.07149701220166e-06,1.4110966885346383e-05,2.638546967825257e-05
