Token,Type,2-corn/corn_2,2-corn/corn_3,2-corn/corn_1,0-cube/cube_2,0-cube/cube_3,0-cube/cube_1,4-cube/cube_2,4-cube/cube_3,3-corn/corn_3,3-corn/corn_2,3-corn/corn_1,1-corn/corn_1,0-corn/corn_1,0-corn/corn_2,0-corn/corn_3,3-cube/cube_1,3-cube/cube_3,3-cube/cube_2,2-cucumber/cucumber_2,2-cucumber/cucumber_1,0-banana/banana_2,0-banana/banana_3,2-cucumber/cucumber_4,0-banana/banana_1,1-banana/banana_3,1-banana/banana_2,1-banana/banana_1,0-cucumber/cucumber_1,0-cucumber/cucumber_2,5-corn/corn_2,0-cucumber/cucumber_4,1-corn/corn_3,1-corn/corn_2,3-cucumber/cucumber_4,3-cucumber/cucumber_2,3-cucumber/cucumber_1,4-cucumber/cucumber_4,2-banana/banana_1,4-cucumber/cucumber_1,4-corn/corn_2,4-corn/corn_3,1-cube/cube_3,1-cube/cube_2,1-cube/cube_1,2-cube/cube_1,2-cube/cube_2,2-cube/cube_3,1-cucumber/cucumber_4,1-cucumber/cucumber_1,1-cucumber/cucumber_2
,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
banana,rgb,5.921237015553325e-06,3.679057756406912e-05,0.000758441941307512,1.8085538855460558e-09,2.20715583471385e-27,0.9999999999918217,6.5487549481546925e-09,3.271490718336669e-24,4.237293783348828e-05,8.089738582155421e-06,0.0009351247050614537,0.0008111228011540232,0.0006929291800821865,4.183165105899034e-06,1.3228887551621473e-05,0.9999999999913041,4.780084452075352e-26,3.3245028673657505e-08,0.00016056718321631167,0.001001190309519243,0.9999512845367176,0.9999615924037605,8.600446657170453e-05,0.99852179702402,0.9999995664452203,0.9999911271550325,0.9993912663600683,0.0014239066250400707,8.047420259636861e-05,1.4394337718710646e-05,0.00010750615986148798,2.828014329250064e-05,7.0093814322658935e-06,8.416272335168152e-05,0.0009436526164473375,0.0001334523280034958,8.667577306746453e-05,0.9995495352663513,3.813957187156514e-05,1.5253301515318643e-05,4.332810096780052e-05,4.4688819415823564e-27,1.8098403186552806e-09,0.9999999999925151,0.999999999992637,3.311397498048187e-09,1.035864609902262e-26,8.065133841572174e-05,0.0006521592859646528,0.0002660072554128722
banana,shape,0.15674843838633765,0.000493077513307454,0.00037540494582829494,0.5773297043606089,0.8873561901325896,0.22473658830309315,0.05793869888667532,0.0035403412008145007,0.011173385763286643,2.9979938756229014e-05,0.0003682813089593922,0.00011562808063802452,4.1961555976350604e-05,0.00843660110843084,0.000393379306768293,0.0404725260329235,0.003121351143745152,0.005984180755117155,0.9874906416118931,8.200425451901381e-05,0.9999587796197885,0.9997482333743428,0.577700016119694,0.9997640078418278,0.9999741482031834,0.9997925101953749,0.9999260262144187,9.2667313942552e-05,5.120112611190863e-05,0.0007986562846159744,3.302322266488444e-05,0.002483411552536912,0.00843660110843084,1.4519648374052377e-05,0.0015978134578470634,0.0005868210749483647,0.839753761611473,0.9997234206521681,0.00016437106412767004,0.3259001734674414,0.013165595732223962,0.5698975503586284,0.00664498804258768,0.16371249422597212,0.0010348262996046026,0.004158170775332312,0.024725843119577012,0.007982279854119131,0.0002531657725339827,0.03753787931288438
banana,object,0.0044940807692123875,0.00012892558999520832,0.00022700844642478777,0.006993003487623355,2.2592429136524333e-08,0.9983125518679948,0.0006456472008917536,6.70259157038662e-10,0.0013373809702434557,8.035072532521749e-06,0.0003077337783511371,8.503688841706472e-05,3.204487460012434e-05,0.00043632061431751686,6.447998332859158e-05,0.9909692861120751,1.4984710161334626e-10,0.00025365567045196395,0.660144431629835,9.12364921952752e-05,0.9999265237581548,0.9998113184843518,0.05825231168769695,0.9997965203287992,0.9999813160253295,0.9998815939782488,0.9999429495454146,9.91914723752289e-05,4.640833982776074e-05,0.00012340518299356883,2.2118186091182286e-05,0.0003981640047263082,0.000517763721713788,1.644256833613879e-05,0.0018385258847623677,0.0003836416804045373,0.15412010604983992,0.9997674214688179,0.00011673797259298104,0.013231067097210624,0.0019453825667864494,6.93364130214615e-09,0.00010534207012453936,0.9978132081296419,0.893155194847613,9.776547094264877e-05,4.678578540966166e-10,0.0019212588178035904,0.00020754472378139798,0.007049992770714224
corn,rgb,0.9998371177424005,0.9999030606167837,0.9999440632395064,2.2523413059590442e-05,1.5814683535218994e-05,0.999975068239004,0.0003920310753368446,0.0003077456010616493,0.999904964276528,0.999842227808869,0.9999447887077788,0.9999375787426497,0.9999366547695535,0.9998306351992183,0.9998787011132166,0.9999814872109029,4.2310673514691053e-05,0.00024212940342583847,0.7201435058621315,0.7291015020127611,0.9999975744609508,0.9999975579973018,0.8184799850270891,0.9999956375286179,0.9999978426445774,0.9999976435620151,0.9999959025658465,0.5303186127082414,0.6174244821055865,0.999866720927608,0.7458553480010416,0.9998887652545835,0.9998214601164614,0.8213541412245695,0.6906719364510523,0.8342374605950785,0.8966678735224036,0.9999969762215143,0.8847393783616054,0.9998526186547996,0.9999046788425877,1.4490734680059522e-05,4.273630825206898e-05,0.9999777613165316,0.9999778352030965,5.569113399096603e-05,1.7104991463667192e-05,0.7929755903250884,0.6189142526799036,0.6706582021339482
corn,shape,0.9999563971985564,0.9999931670359827,0.999871499515562,4.322121562925977e-07,0.00010212939721528976,1.1394233531388564e-06,0.00030729414166749994,2.1978281086407715e-05,0.9999851087458892,0.9999826918167363,0.9991156206403081,0.999969979049217,0.9999554801885107,0.9999610184658273,0.9999993341457253,0.00028661359751599134,0.00016329338285528256,0.0001369645808545939,0.9130765817351842,0.24755511405244096,0.9017805777071906,0.999996741534318,0.9989641183538742,0.0009167377979969743,0.013780504776310072,0.9999995600051652,0.9246949769303109,0.9855436925074633,0.9960796973704018,0.9999929636035546,0.9937214951689991,0.9999998243442703,0.9999610184658273,0.9988764751246464,4.7574742998536735e-05,0.999423713478146,0.9899778815295452,9.506727157936469e-05,2.2878178732895365e-06,0.9999988059927941,0.9993073539209661,1.754639724512774e-05,2.0954583983759357e-05,1.029461596281761e-06,0.000375996749008358,8.283148200732715e-05,0.00010948919164799462,0.9999965657276656,0.9995745452262267,0.9999979926604456
corn,object,0.9999617424915141,0.9999876245535185,0.9999617130649253,2.71521430220659e-06,3.577325721845891e-05,0.17346670182284665,0.00020257261248208776,3.335167850833301e-05,0.9999789073747399,0.999974657189547,0.9996064995425757,0.9999781217125253,0.9999705488371929,0.999957111652777,0.9999956841975073,0.7869270741647683,3.603100725876355e-05,0.0001147353205321145,0.8922362725142029,0.575174775590914,0.9998696796891806,0.9999990019225108,0.993352360842136,0.9660770760256068,0.9966949111219812,0.9999996852074778,0.9995693272577609,0.9551425680356388,0.9769015229706484,0.9999882245754145,0.9793710896937033,0.9999979613501878,0.9999563909224237,0.9932303272672239,0.015122383873954651,0.9960940409841806,0.983774436542598,0.927342623703538,0.004996310949252541,0.9999946725264169,0.9996490143428335,6.046435789571739e-06,2.0267643669298774e-05,0.19001988653799112,0.7614778898220009,4.8860040381579824e-05,1.8356054580453636e-05,0.9995527608113106,0.9936428481182865,0.999593197742426
cube,rgb,7.439836937883186e-07,6.350672500288769e-07,6.916212060825875e-07,0.9996090707683262,0.999999999220349,0.9987224774369511,0.9658805056827661,0.9999898799209518,6.369296873964284e-07,7.455108852623941e-07,7.130696203916903e-07,7.54633424806418e-07,7.399303525513258e-07,7.46142348469054e-07,6.616822551556528e-07,0.9977804440361492,0.9999999478586692,0.9924409912797824,0.0033161857758832033,0.007181250453403312,4.598137942460151e-05,5.351000520579633e-05,0.0012347040851096182,1.1724049161615144e-05,0.0009780159499770467,0.00013072572876664457,1.778531883839401e-05,0.0289509905206395,0.00460938920796384,7.048512242046416e-07,0.002353208495805272,6.723775769513974e-07,7.946850856567567e-07,0.0011942885355288803,0.009037936610770243,0.0012793228096550531,0.0005470999133245289,1.5758323967462273e-05,0.00047084877961217213,7.532181359744947e-07,6.396588557041856e-07,0.9999999979613403,0.9987388546291424,0.9986077027077164,0.9986260221044222,0.9984363798802578,0.9999999936555148,0.001482501300438258,0.011781827738266717,0.005676398990811751
cube,shape,2.3916211745401254e-06,0.044973259450953054,0.1522345385045137,0.9999839561249302,0.9999330365910652,0.9999537676766497,0.9996239590865925,0.9999813273576107,0.449402252819394,5.036912848767531e-06,0.9999718181994197,0.027717383033853765,4.465800866131318e-05,3.176111696647463e-06,6.389234682097436e-05,0.9999780176933383,0.9999493207549943,0.9999860446574999,0.3534512697956066,0.00011987696319191617,0.0001547450208564331,0.0008411611924022851,2.9499339314112865e-05,0.003996958472887438,0.00014149050693041112,0.0001730298739040727,0.9995496526324928,7.929706637670536e-06,1.638684876269466e-05,0.009766273650528734,9.030992447825623e-06,0.03212437997763475,3.1761116966474796e-06,1.2605670515440748e-05,0.11588464264808658,4.6316251680446003e-05,0.0003333684003807775,0.9994747125750008,0.00043695304896407185,0.004617233940167212,0.9996911811134112,0.9999958165571917,0.9999718186335065,0.9998824119810601,0.9999706165761829,0.9999839619745506,0.9999906449910844,1.4871457418874749e-05,7.856707674378703e-06,9.454686215949728e-05
cube,object,2.045635944581267e-06,0.029137822693378487,0.08882459023532294,0.9999740810181217,0.99994919386342,0.9999478236958966,0.9995992053849104,0.9999817342436816,0.283129098286894,4.029452415668502e-06,0.9998873277871241,0.018138897004810993,3.82640368807525e-05,2.273783181395328e-06,4.965672714641671e-05,0.9999745209620653,0.9999557521311616,0.9999770754309841,0.2809518037214148,0.00011953597395449502,7.689751864362268e-05,0.0003177255790582868,2.4081017802568453e-05,0.0019156297488843997,0.00010041038792237864,8.161561330416585e-05,0.9978243500115443,7.167189005311963e-06,1.5871906650763534e-05,0.006354002384313103,7.111138959435055e-06,0.017876292133233187,2.2684232037904585e-06,1.2473132326933672e-05,0.08603025241459686,3.968395073725728e-05,0.0003003095899099176,0.9977235221309856,0.0004080908510502095,0.002691861172318827,0.9991543144331994,0.9999967915075021,0.999948319920631,0.9998758204860121,0.9999673604182338,0.9999737409607563,0.999993246787185,1.1842117365903084e-05,7.5043142840219975e-06,7.360633967316214e-05
