,banana/banana_4,corn/corn_4,cube/cube_4,cucumber/cucumber_3
abl,1.0,0.0,0.0,0.0
ad,0.0,1.0,0.0,0.0
adapt,0.0,0.0,0.0,1.0
advis,0.0,0.0,0.0,1.0
age,0.0,0.0,1.0,0.0
also,1.0,0.0,1.0,0.0
american,0.0,1.0,0.0,0.0
amerifit,0.0,1.0,0.0,0.0
among,0.0,0.0,1.0,0.0
amount,0.0,0.0,0.0,1.0
android,3.0,0.0,0.0,0.0
anyth,0.0,0.0,1.0,0.0
around,1.0,0.0,0.0,0.0
banana,20.0,0.0,0.0,0.0
beast,0.0,1.0,0.0,0.0
bit,1.0,0.0,0.0,0.0
bitter,0.0,1.0,0.0,0.0
black,2.0,0.0,0.0,0.0
block,0.0,0.0,5.0,0.0
blurri,0.0,1.0,0.0,0.0
boil,0.0,1.0,0.0,0.0
box,0.0,0.0,2.0,0.0
breakfast,1.0,0.0,0.0,1.0
brown,2.0,0.0,0.0,0.0
bump,0.0,0.0,0.0,1.0
bumpi,0.0,0.0,0.0,1.0
calori,1.0,0.0,0.0,0.0
car,0.0,1.0,0.0,0.0
card,0.0,0.0,0.0,1.0
case,1.0,0.0,0.0,0.0
chang,1.0,0.0,0.0,0.0
children,0.0,0.0,1.0,0.0
chrysler,0.0,0.0,1.0,0.0
cleaner,1.0,0.0,0.0,0.0
cob,0.0,1.0,0.0,0.0
coin,0.0,1.0,0.0,0.0
color,5.0,7.0,10.0,7.0
combat,0.0,0.0,0.0,1.0
complex,0.0,1.0,0.0,0.0
cone,0.0,2.0,0.0,0.0
contain,0.0,0.0,0.0,1.0
cook,0.0,1.0,0.0,0.0
cool,0.0,0.0,0.0,1.0
corn,0.0,13.0,0.0,0.0
corner,0.0,1.0,2.0,0.0
cube,0.0,0.0,7.0,0.0
cubic,0.0,0.0,1.0,0.0
cuboid,0.0,0.0,1.0,0.0
cucumb,0.0,0.0,0.0,16.0
cue,0.0,0.0,1.0,0.0
cumberland,0.0,0.0,0.0,1.0
cut,0.0,0.0,0.0,1.0
cute,0.0,0.0,1.0,0.0
cylind,0.0,0.0,0.0,1.0
dark,2.0,0.0,0.0,4.0
day,1.0,0.0,0.0,0.0
dean,1.0,0.0,0.0,0.0
deep,0.0,0.0,1.0,0.0
destroy,0.0,1.0,0.0,0.0
dish,1.0,0.0,0.0,0.0
distort,0.0,0.0,1.0,0.0
doesnt,0.0,0.0,1.0,0.0
dont,1.0,0.0,2.0,0.0
dri,1.0,0.0,0.0,0.0
dy,0.0,0.0,1.0,0.0
eat,2.0,0.0,0.0,0.0
edg,3.0,0.0,2.0,0.0
excedrin,0.0,0.0,1.0,0.0
except,0.0,1.0,0.0,0.0
eye,0.0,0.0,0.0,1.0
fanci,0.0,0.0,1.0,0.0
far,0.0,0.0,0.0,1.0
feel,1.0,0.0,0.0,0.0
find,0.0,0.0,1.0,0.0
flute,1.0,0.0,0.0,0.0
food,1.0,1.0,0.0,0.0
foreground,0.0,1.0,0.0,0.0
found,0.0,0.0,1.0,0.0
fresh,0.0,1.0,0.0,1.0
fri,0.0,1.0,0.0,0.0
fruit,2.0,0.0,0.0,0.0
fuchsia,0.0,0.0,1.0,0.0
fun,1.0,0.0,0.0,0.0
get,1.0,0.0,0.0,0.0
give,0.0,1.0,0.0,0.0
go,1.0,1.0,0.0,0.0
gold,0.0,0.0,0.0,1.0
golden,0.0,0.0,0.0,1.0
gone,0.0,3.0,0.0,0.0
good,1.0,0.0,2.0,1.0
green,7.0,0.0,0.0,20.0
greenish,1.0,1.0,0.0,0.0
gumbo,0.0,0.0,0.0,1.0
gun,0.0,1.0,0.0,0.0
head,1.0,0.0,0.0,0.0
high,1.0,0.0,0.0,0.0
hit,0.0,0.0,1.0,0.0
hous,0.0,0.0,1.0,0.0
houston,0.0,1.0,0.0,0.0
juan,0.0,1.0,0.0,0.0
karachi,0.0,2.0,0.0,0.0
kept,1.0,0.0,0.0,0.0
kernel,0.0,1.0,0.0,0.0
kind,3.0,0.0,0.0,0.0
know,0.0,0.0,2.0,0.0
lamin,1.0,0.0,0.0,0.0
last,0.0,1.0,0.0,0.0
light,0.0,1.0,1.0,1.0
like,2.0,3.0,5.0,1.0
line,0.0,0.0,0.0,1.0
list,1.0,0.0,0.0,0.0
littl,1.0,0.0,0.0,0.0
long,0.0,0.0,0.0,1.0
look,4.0,6.0,2.0,1.0
lost,0.0,1.0,0.0,0.0
mage,0.0,1.0,0.0,0.0
malaysian,1.0,0.0,0.0,0.0
mani,1.0,1.0,0.0,0.0
mark,1.0,0.0,0.0,0.0
mayb,0.0,0.0,2.0,0.0
milk,0.0,0.0,1.0,0.0
mind,0.0,0.0,1.0,0.0
morn,0.0,0.0,0.0,1.0
need,1.0,0.0,0.0,0.0
object,0.0,0.0,1.0,1.0
old,0.0,1.0,0.0,0.0
one,1.0,0.0,0.0,0.0
opium,1.0,0.0,0.0,0.0
orang,0.0,0.0,1.0,0.0
