confFiles/spoken_4_lemmed_stop.conf,,,,,,
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
confFiles/spoken_4_lemmed_stop.conf,,,,,,
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
cube,0.846666667,1,0.816666667,0.886666667,1,1
look,0.45,1,0.783333333,0.846666667,1,0
salad,0.39,0.468333333,0.883333333,0.591904762,1,1
corn,0.408333333,0.466666667,0.933333333,0.587380952,1,1
yellow,1,1,1,1,3,0
fruit,0.338333333,0.446666667,0.883333333,0.571428571,1,1
green,0.34,0.365,0.966666667,0.517619048,1,1
cucumber,0.503333333,0.57,0.933333333,0.689047619,1,1
banana,0.275,0.453333333,0.766666667,0.539047619,1,1
Folder Number:  6000,,,,,,
Accuracy:  0.5057407407407407,,,,,,
F1-Score:  0.6921957671957673,,,,,,
Precision:  0.6411111111111111,,,,,,
Recall:  0.8851851851851851,,,,,,
confFiles/spoken_4_lemmed_stop.conf,,,,,,
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
cube,0.933333333,1,0.916666667,0.946666667,1,1
look,0.75,1,0.85,0.906666667,1,0
salad,0.465,0.498333333,0.966666667,0.635238095,1,1
corn,0.383333333,0.403333333,0.966666667,0.555,1,1
yellow,1,1,1,1,3,0
fruit,0.068333333,0.321666667,0.766666667,0.409047619,1,1
green,0.296666667,0.496666667,0.816666667,0.575238095,1,1
cucumber,0.415,0.415,1,0.566666667,1,1
banana,0.191666667,0.441666667,0.766666667,0.527619048,1,1
Folder Number:  6000,,,,,,
Accuracy:  0.5003703703703704,,,,,,
F1-Score:  0.6802380952380953,,,,,,
Precision:  0.6196296296296295,,,,,,
Recall:  0.8944444444444445,,,,,,
confFiles/spoken_4_lemmed_stop.conf,,,,,,
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
cube,0.95,1,0.933333333,0.96,1,1
look,0.95,1,0.966666667,0.98,1,0
salad,0.406666667,0.44,0.95,0.582142857,1,1
corn,0.313333333,0.338333333,0.966666667,0.48547619,1,1
yellow,1,1,1,1,3,0
fruit,0.148333333,0.373333333,0.7,0.467142857,1,1
green,0.333333333,0.416666667,0.883333333,0.544761905,1,1
cucumber,0.363333333,0.441666667,0.883333333,0.564047619,1,1
banana,0.225,0.416666667,0.75,0.507142857,1,1
Folder Number:  6000,,,,,,
Accuracy:  0.5211111111111111,,,,,,
F1-Score:  0.6767460317460317,,,,,,
Precision:  0.6029629629629629,,,,,,
Recall:  0.8925925925925926,,,,,,
confFiles/spoken_4_lemmed_stop.conf,,,,,,
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
cube,0.913333333,1,0.883333333,0.926666667,1,1
look,0.75,1,0.866666667,0.913333333,1,0
salad,0.45,0.475,0.966666667,0.618333333,1,1
corn,0.401666667,0.493333333,0.9,0.60452381,1,1
yellow,1,1,1,1,3,0
fruit,0.181666667,0.418333333,0.7,0.497142857,1,1
green,0.318333333,0.363333333,0.933333333,0.507619048,1,1
cucumber,0.413333333,0.525,0.85,0.637857143,1,1
banana,0.326666667,0.385,0.916666667,0.520952381,1,1
Folder Number:  6000,,,,,,
Accuracy:  0.5283333333333332,,,,,,
F1-Score:  0.6918253968253968,,,,,,
Precision:  0.6288888888888889,,,,,,
Recall:  0.8907407407407406,,,,,,
confFiles/spoken_4_lemmed_stop.conf,,,,,,
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
cube,0.855,1,0.8,0.873333333,1,1
look,0.7,1,0.816666667,0.886666667,1,0
salad,0.485,0.551666667,0.933333333,0.676190476,1,1
corn,0.401666667,0.485,0.9,0.603809524,1,1
yellow,1,1,1,1,3,0
fruit,0.025,0.45,0.583333333,0.482380952,1,1
green,0.386666667,0.453333333,0.933333333,0.577619048,1,1
cucumber,0.348333333,0.373333333,0.95,0.51952381,1,1
banana,0.25,0.406666667,0.8,0.521428571,1,1
Folder Number:  6000,,,,,,
Accuracy:  0.4946296296296296,,,,,,
F1-Score:  0.6823280423280422,,,,,,
Precision:  0.6355555555555557,,,,,,
Recall:  0.8574074074074074,,,,,,
confFiles/spoken_4_lemmed_stop.conf,,,,,,
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
cube,0.925,1,0.866666667,0.913333333,1,1
look,0.85,1,0.9,0.94,1,0
salad,0.395,0.42,0.966666667,0.565952381,1,1
corn,0.416666667,0.441666667,0.966666667,0.588333333,1,1
yellow,1,1,1,1,3,0
fruit,0.136666667,0.303333333,0.816666667,0.416666667,1,1
green,0.366666667,0.445,0.9,0.56452381,1,1
cucumber,0.325,0.45,0.85,0.552857143,1,1
banana,0.2,0.383333333,0.783333333,0.484285714,1,1
Folder Number:  6000,,,,,,
Accuracy:  0.5127777777777778,,,,,,
F1-Score:  0.6695502645502647,,,,,,
Precision:  0.6048148148148148,,,,,,
Recall:  0.8944444444444444,,,,,,
confFiles/spoken_4_lemmed_stop.conf,,,,,,
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
cube,0.893333333,1,0.866666667,0.92,1,1
look,0.85,1,0.916666667,0.946666667,1,0
salad,0.328333333,0.478333333,0.866666667,0.586666667,1,1
corn,0.405,0.43,0.966666667,0.573809524,1,1
yellow,1,1,1,1,3,0
fruit,0.141666667,0.425,0.716666667,0.494285714,1,1
green,0.375,0.433333333,0.9,0.564761905,1,1
cucumber,0.406666667,0.451666667,0.933333333,0.59047619,1,1
banana,0.226666667,0.438333333,0.783333333,0.534285714,1,1
Folder Number:  6000,,,,,,
Accuracy:  0.5140740740740741,,,,,,
F1-Score:  0.6901058201058201,,,,,,
Precision:  0.6285185185185186,,,,,,
Recall:  0.8833333333333333,,,,,,
confFiles/spoken_4_lemmed_stop.conf,,,,,,
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
cube,0.88,1,0.833333333,0.893333333,1,1
look,0.85,1,0.9,0.94,1,0
salad,0.358333333,0.433333333,0.9,0.56047619,1,1
corn,0.316666667,0.441666667,0.866666667,0.56047619,1,1
yellow,1,1,1,1,3,0
fruit,0.25,0.4,0.783333333,0.503809524,1,1
green,0.425,0.528333333,0.85,0.633571429,1,1
cucumber,0.336666667,0.448333333,0.866666667,0.553809524,1,1
banana,0.266666667,0.425,0.8,0.534761905,1,1
Folder Number:  6000,,,,,,
Accuracy:  0.5203703703703703,,,,,,
F1-Score:  0.6866931216931218,,,,,,
Precision:  0.6307407407407407,,,,,,
Recall:  0.8666666666666667,,,,,,
confFiles/spoken_4_lemmed_stop.conf,,,,,,
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
cube,0.941666667,1,0.933333333,0.96,1,1
look,0.9,1,0.933333333,0.96,1,0
salad,0.306666667,0.448333333,0.816666667,0.557380952,1,1
corn,0.368333333,0.413333333,0.933333333,0.55047619,1,1
yellow,1,1,1,1,3,0
fruit,0.225,0.45,0.75,0.527142857,1,1
green,0.371666667,0.505,0.9,0.614047619,1,1
cucumber,0.433333333,0.458333333,0.95,0.596904762,1,1
banana,0.158333333,0.375,0.733333333,0.464285714,1,1
Folder Number:  6000,,,,,,
Accuracy:  0.5227777777777778,,,,,,
F1-Score:  0.6922486772486773,,,,,,
Precision:  0.6277777777777778,,,,,,
Recall:  0.8833333333333333,,,,,,
confFiles/spoken_4_lemmed_stop.conf,,,,,,
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
cube,0.975,1,0.966666667,0.98,1,1
look,0.7,1,0.833333333,0.893333333,1,0
salad,0.43,0.488333333,0.916666667,0.627142857,1,1
corn,0.27,0.381666667,0.85,0.50047619,1,1
yellow,1,1,1,1,3,0
fruit,0.136666667,0.395,0.65,0.46047619,1,1
green,0.385,0.46,0.9,0.593095238,1,1
cucumber,0.356666667,0.39,0.966666667,0.526190476,1,1
