Token,Type,2-corn/corn_2,2-corn/corn_1,2-corn/corn_4,1-corn/corn_4,0-cube/cube_2,0-cube/cube_3,4-cube/cube_4,4-cube/cube_2,4-cube/cube_3,0-cube/cube_4,3-banana/banana_4,3-corn/corn_4,3-corn/corn_2,3-corn/corn_1,1-corn/corn_1,0-corn/corn_1,0-corn/corn_2,2-cube/cube_3,0-corn/corn_4,3-cube/cube_4,3-cube/cube_3,3-cube/cube_2,2-cucumber/cucumber_3,0-banana/banana_4,2-cucumber/cucumber_1,0-banana/banana_3,2-cucumber/cucumber_4,0-banana/banana_1,1-banana/banana_3,1-banana/banana_1,1-banana/banana_4,5-corn/corn_2,0-cucumber/cucumber_1,0-cucumber/cucumber_3,0-cucumber/cucumber_4,1-corn/corn_2,3-cucumber/cucumber_4,3-cucumber/cucumber_3,3-cucumber/cucumber_1,4-cucumber/cucumber_4,2-banana/banana_1,5-cucumber/cucumber_3,2-banana/banana_4,4-cucumber/cucumber_1,4-cucumber/cucumber_3,4-corn/corn_4,4-corn/corn_2,2-cube/cube_4,1-cube/cube_2,2-cube/cube_2,1-cube/cube_4,1-cube/cube_3,1-cucumber/cucumber_4,1-cucumber/cucumber_1,1-cucumber/cucumber_3
,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
banana,rgb,0.9596135718159997,0.9926449902063879,0.9784542458498291,0.9769621030080098,9.276270091044559e-05,5.556520968942644e-09,1.0,0.0005824175023748906,1.430715200060786e-07,0.9999999999999982,0.9996977278483895,0.979655427314579,0.9630036669748755,0.9930495111477441,0.9923146683303631,0.9919595857749236,0.9554077359519071,8.12176215277428e-09,0.9749302119030043,0.9999999999999998,1.8760483763308805e-08,0.0006654283683596282,0.3903007166702684,0.9994702087214168,0.5450311801972599,0.9999794061223815,0.4670008055698813,0.9999314450105263,0.9999935576704111,0.9999465731524371,0.9993667650953381,0.9703495283221516,0.4495398352865773,0.35716730389981466,0.42290742687693683,0.9591971172811516,0.46832837546379913,0.45427236561825646,0.5082330528448566,0.5558263556155042,0.99995792348032,0.5786032553251661,0.9999574170490183,0.4901876742650507,0.4822078786356721,0.980496186855255,0.9691278528022481,0.9999999999999998,0.00013060089877509604,0.00017400832080192487,0.9999999999999984,6.167680884053643e-09,0.4412908880761074,0.4512596958658165,0.41529567285706076
banana,shape,0.9999057184384553,0.9983595573472512,0.999812730916519,0.9998727093392327,2.0735711311400444e-05,0.0003164912314424023,5.936595393575198e-05,0.0004754936241053906,8.634240738360078e-06,3.315238980039262e-05,0.999808056579834,0.9995206329017936,0.9993876742060135,0.0006582099822695211,0.996174703122239,0.9990788526104538,0.9994807033330828,7.649405323829684e-05,0.9996882445544153,2.585222275835938e-05,5.6541816844709e-05,6.831604106445181e-05,0.999858653279747,0.999920710958334,0.3728533687548709,0.9999444179709743,0.9997757421545441,0.9998240050535784,0.99999085073527,0.9996319744128136,0.9999650992291389,0.999232872187722,0.9994231330951396,0.9999065648912988,0.9992603094699697,0.9994807033330828,0.9978550708951114,0.9961734892931582,0.9998524068232436,0.9997232548939365,0.9996245805224168,0.23218829259130913,0.9999595062615939,1.1428869395831858e-05,0.999704110593769,0.9996405090855268,0.9998450591796083,2.052274194483056e-05,1.4676119509595628e-05,7.461229882501017e-05,4.490226585369206e-05,0.00011321588940439042,0.9997136703142997,0.9997741448129945,0.9997721666179271
banana,object,0.9995446953309705,0.9980150220982854,0.9995826714640402,0.9996626806023926,6.539210223965836e-05,2.8757709814772324e-05,0.9999607752107754,0.00030734547612373955,2.560590720617386e-06,0.9998936160108709,0.9998891674900605,0.9990695248234219,0.998603758117878,0.2612000442598883,0.9963060034508998,0.9984297275999962,0.9988329618776683,1.9165823463830183e-06,0.9992678326956845,0.9999217869530619,2.0246464526191485e-06,0.00012586569867729277,0.9951830534805035,0.9999400732257256,0.5137550818589145,0.9999869082378388,0.9943603765804059,0.9999070438804157,0.9999918796924401,0.9998538020864961,0.999949626758402,0.9986095076001812,0.9862695233370129,0.9962988949934317,0.984984479587702,0.9988697132875877,0.9740287651924046,0.9525694914019341,0.9954173756549373,0.9919433563949969,0.9998389599553001,0.43263962249460325,0.9999395648787441,0.007563151709039417,0.9929617531945002,0.9993715138697168,0.9994968302186372,0.9999216267166712,3.700375270346607e-05,7.918600683423481e-05,0.9998414193775083,2.379029204896596e-06,0.9937414629280238,0.9940149407066633,0.9928176589830777
corn,rgb,0.9995146585893827,0.9938151260510111,0.9993492072136322,0.9994712961265689,9.994872798354424e-26,8.716142065026136e-05,1.0,1.9769164232087848e-21,0.00522317008640308,1.0,1.6525242913885806e-06,0.9992181679883804,0.9993475840034094,0.9921659786571673,0.989810472954147,0.9913101380804932,0.9996459040448032,3.084265408384737e-05,0.9995889734923172,1.0,0.00020603005590287353,2.5915217756697625e-23,7.577624996673613e-14,3.9047491698898186e-15,1.7362750303172192e-13,0.0003298946644337149,4.7774425425632255e-11,0.008326473769916196,5.50294254592903e-07,0.0028456126911242784,3.2531468478209035e-10,0.999249871140861,3.1964489976593356e-15,2.1611987005454641e-13,6.33352755398281e-12,0.9991457686270803,5.322345120318165e-11,1.1419519404575255e-13,3.9156462293156884e-11,6.233191756053012e-10,0.005811700824532003,1.3282959612262212e-12,5.217046310210029e-18,1.2437929166032286e-09,2.3711846582911835e-13,0.9995160387631843,0.9988214934565448,1.0,1.4119748524445647e-24,1.7517154715548784e-24,1.0,3.521615469673923e-05,2.750940646165865e-11,4.341374213988347e-14,5.803253409513642e-15
corn,shape,0.9999833793543057,0.9998991269850824,0.9999996397756913,0.9999998802569635,4.5587332508606867e-07,3.339356775209858e-05,0.00033372513570381873,0.061616525551195296,0.00011066405447045833,1.2174586338085952e-05,0.9984063194866915,0.9999918090841888,0.9999768275140027,0.9989628180133284,0.9999797704778705,0.9999581200201358,0.9999730902148818,0.00025798518216693596,0.9999358483047764,0.0006534377327162154,0.00029825467072459795,0.0010832767682123613,0.9998651121253865,0.9997528779560633,0.7191138470490183,0.9998685909226055,0.999639551276531,2.388289648112249e-05,0.02598551394116524,0.00015564737349115006,0.979396490730379,0.9999951068240869,0.9822376152193242,0.9998690700592545,0.9885382185106402,0.9999730902148818,0.9988244363045053,0.9738392409167115,0.9989748448024793,0.9288433148623235,3.9747240875914135e-05,1.16525009354013e-05,0.001583136102023431,1.6567794963946284e-05,0.9999947957686581,0.9999989819519154,0.9999925806892989,0.0005330228910088651,4.449535764758936e-05,0.00047227331552848544,0.0005650115747279594,8.607849430438342e-06,0.9999971490991425,0.9995396196121563,0.9692073812381964
corn,object,0.9999826513145498,0.9999406868088295,0.9999994883564132,0.9999998236199361,1.7482426273793488e-05,7.878694511323956e-07,0.9920729457861834,0.2227112193033001,0.00013778653662710035,0.8429959403948929,0.9999422116219328,0.9999908997572903,0.9999655499988298,0.9993823321275094,0.9999840409673405,0.9999788594814136,0.9999593523603937,5.917786907534617e-05,0.9999335490817831,0.9987368339617916,0.00010743098847219532,0.025318121714277393,0.9998063228514459,0.9999655086077849,0.9548070526980243,0.9999853869407908,0.999805338277089,7.840712882316242e-05,0.42880483046341533,0.00017422757557340645,0.9957603712378058,0.9999930677435166,0.9860627514727366,0.9998305546330961,0.9841819160335692,0.9999617968935762,0.9986445922474307,0.9774533684550808,0.9991481570175458,0.8740627822095299,0.00014424084172750656,8.520563008234879e-05,0.19465597766805393,0.00829238853354809,0.9999880778237905,0.9999912946483973,0.9999811673547492,0.9969849761073614,0.002984856874898416,0.013436674915539059,0.9968128693188508,8.807908563705374e-07,0.9999947309763443,0.9994034040402988,0.9717145826486442
cube,rgb,1.1311452749676021e-06,1.03032278735775e-06,9.556017733502672e-07,9.513494231365352e-07,0.9995773286645675,0.9999999991952377,0.9999982892482843,0.9663932646852947,0.999990906003502,0.9965915246439021,0.000125713540421425,9.60898579946452e-07,1.1314629266163237e-06,1.0604124914763137e-06,1.1209059342766035e-06,1.100406735960731e-06,1.1365289174228302e-06,0.9999999936172626,9.489107800799143e-07,0.9999916729015945,0.9999999492853774,0.99225030404313,0.011642157838292344,0.14969308027183623,0.008410307868441784,6.817394551330614e-05,0.0015222189084464922,1.560482820910445e-05,0.0011538928558673667,2.3386097035976872e-05,0.0018232610273354198,1.0684353799395477e-06,0.032682111738267274,0.008455316749958114,0.002853671215417526,1.2045313549074983e-06,0.0014737024716848241,0.009929096434221539,0.0015733957730237915,0.0006880383764153776,2.0781349380107564e-05,0.004309679210710438,0.9422139374248589,0.0005961405874672087,0.00775313320826933,8.979689726598465e-07,1.1389751606236554e-06,0.9999870967713915,0.99867098680691,0.9983557945798678,0.9970133575457608,0.9999999979179468,0.001820007566297265,0.01364785029521373,0.026956703904590838
cube,shape,5.406899479112138e-07,0.00011486083592765641,6.684150077078599e-07,3.540074827213047e-07,0.9999784447620248,0.9993220104521813,0.9999421292292426,0.9994293722049185,0.9999818217367844,0.999967363515104,0.07201827794870785,8.867753126553537e-07,4.6541825001232825e-07,0.0012848384470063084,2.8469795883861895e-05,6.236276318127768e-06,1.4618017322048484e-06,0.999809107161201,8.38951782743915e-07,0.9998624904323445,0.9995095544960791,0.9998956832290495,4.626353116926249e-06,0.0005436571179407728,4.2303190568641045e-05,2.6213213079448767e-05,0.00020562474109166474,0.00023546459335403155,2.8669735546276908e-05,0.000303025583179475,2.435094175099863e-06,3.157974807133594e-06,1.8960501739041324e-06,3.67311076909537e-06,7.654905588227677e-07,1.461801732204851e-06,3.2421650598925153e-07,1.8283715731567867e-06,6.311259062475166e-05,0.0007753277964275356,0.0006077121284690421,0.5068402017147189,0.015815719211840353,0.0007487089171183972,3.50192471831717e-06,5.039563935833135e-06,2.4755128797193515e-05,0.9999290608139104,0.999893576692542,0.999877648250762,0.9999631992734488,0.9999523794250326,1.1658056227562105e-06,1.1837366018502363e-06,5.483681074346153e-06
cube,object,1.1326456615055965e-07,6.190942686006912e-05,1.7926327664810226e-07,9.793122548225387e-08,0.9999641987092557,0.9996995578917051,0.999943832690968,0.9995281568099466,0.999987069664391,0.9999331058688369,0.000836358225452806,4.589080584175653e-07,1.8339415502562763e-07,0.0009229126717156597,2.0376007798954444e-05,3.56687416518598e-06,2.715758124404456e-07,0.9999707707522154,2.4257406357553004e-07,0.9998688706659935,0.9999084893139925,0.9998924914460108,3.3510257328962696e-06,0.00010120566463673187,4.3744657652195275e-05,2.3102377833064733e-06,4.873226110184444e-05,6.365691655189569e-05,6.726729697472486e-06,0.00019275742488270898,1.395648319200633e-06,2.0023503627858562e-06,2.77229985630879e-06,1.625636749359752e-06,8.863931760982188e-07,2.7293082005841505e-07,6.880694522997657e-07,4.5006390511774806e-06,4.7928514469947125e-05,0.000886593532146756,0.00035595895857564347,0.2955536792374968,0.0036330414825051695,0.0004851178459603814,7.4308189038806895e-06,3.037167675652923e-06,9.401760246823232e-06,0.9999035954328744,0.9999084901537045,0.9998839384510916,0.9999020067636295,0.9999948710193537,8.595382360902338e-07,1.5772402260015367e-06,4.9351579392882705e-06
