Token,Type,0-banana/banana_2,1-banana/banana_2,0-corn/corn_4,1-corn/corn_4,2-corn/corn_4,3-corn/corn_4,4-corn/corn_4,0-cube/cube_4,1-cube/cube_4,2-cube/cube_4,3-cube/cube_4,4-cube/cube_4,0-cucumber/cucumber_4,1-cucumber/cucumber_4,2-cucumber/cucumber_4,3-cucumber/cucumber_4,4-cucumber/cucumber_4
,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
banana,rgb,0.9999302025550282,0.9999834247607648,0.0006854112747603277,0.0008697382765885029,0.0010527925644711216,0.0012418238871839849,0.0011368783480172429,0.9999999999922293,0.9999999999929416,0.9999999999996503,0.9999999999997755,0.9999999999998799,0.033827953855948646,0.024774227160479372,0.025010954314057615,0.024431599696144668,0.02104736050794849
banana,shape,0.9998362094386186,0.9998010847657732,7.508263818555609e-05,0.001266174917679017,0.001450376423369315,0.0001824503316780739,0.004926962469827055,0.0033134978458815765,0.00011332105085788203,0.0001285055164564,3.191709738159611e-05,0.00041500911192651497,0.005520726581978651,0.00010023552196424105,0.591743930981645,0.0003114214136434086,0.7374510625815781
banana,object,0.9998982918539813,0.9999009950440575,9.707710599531804e-05,0.00038778305498700426,0.00047768350391451316,0.00019041689833259606,0.0017329338647460398,0.999781578097187,0.9985065277873235,0.999550333347561,0.9991979053837138,0.9998646990960764,0.010077037446759102,0.0005530669734068448,0.07749082359510039,0.0022170540002004243,0.12861264656660332
block,rgb,0.0027507548725739534,0.005695201116208605,0.00021295181872010342,0.00021147392308327597,0.00021068486531335124,0.00021027529188657077,0.00020031828373358876,0.9960359310499095,0.9964079527862039,0.9999403895105337,0.9999567870623942,0.9999869998384514,0.0795830018264496,0.05825169996372432,0.05112856563609015,0.04997360124474167,0.028592051957643017
block,shape,1.830554730342467e-06,5.061571622065815e-07,1.0908764921608116e-05,8.005367191984131e-08,1.130622286469764e-07,4.1935253647281365e-06,1.847599626292647e-06,0.999989031714065,0.9999491743836295,0.9999246243387051,0.9998561330357977,0.9999667373034575,0.001701233207443804,6.08728514675221e-07,2.0360918792438604e-05,0.0031166263856162823,0.00697462093054306
block,object,1.4645739461016487e-06,3.8569125234902225e-07,6.8454823487704e-06,9.731006143130392e-08,1.4522132482397818e-07,3.5671440604608353e-06,2.190851110232552e-06,0.9999680626374993,0.9999076586139589,0.999900782037807,0.9998567855005674,0.9999604370895877,0.0008779605848656096,1.3216733716016306e-06,3.2218612955667616e-05,0.001649137732573815,0.0072256291051962605
cob,rgb,0.9092612465294092,0.7946744626921893,0.9999449259204963,0.9999372954539671,0.9999302952827579,0.9999235289994829,0.9999362676136638,0.9999999999772569,0.9999999999770559,0.9999999999845846,0.9999999999805951,0.9999999999853921,0.12096248804952811,0.18759155934269522,0.21553579267779913,0.22207650355488825,0.39093372735056386
cob,shape,0.9795581009312858,0.9999994959458018,0.999902008407159,0.9999999621502874,0.9999998069526232,0.9999910603623159,0.999999953152676,2.062363534294084e-05,0.0003591293075533561,0.0003648326410155421,0.0017356546454432202,0.0003736739951758129,0.9893400888238281,0.9999951659998242,0.9992262349041044,0.9979205578341688,0.9859299719284693
cob,object,0.9813086305539152,0.999899995841849,0.999947964476847,0.9999993659336929,0.9999983160862714,0.9999881286557032,0.9999993680447937,0.9979588738652343,0.9996238959042432,0.9997009377575886,0.9998504733124802,0.9996838008067815,0.8674792645094096,0.9976296884574982,0.9713990347927361,0.9578988801154206,0.9113471539528765
