,banana/banana_4,corn/corn_2,cube/cube_2,cucumber/cucumber_3
4,0.0,1.0,0.0,0.0
a,19.0,21.0,28.0,17.0
able,1.0,0.0,0.0,0.0
about,0.0,0.0,1.0,0.0
adaptive,0.0,0.0,0.0,1.0
advisable,0.0,0.0,0.0,1.0
again,1.0,3.0,0.0,0.0
all,1.0,1.0,0.0,0.0
almost,0.0,1.0,0.0,0.0
already,0.0,0.0,1.0,0.0
also,1.0,0.0,2.0,0.0
american,0.0,1.0,0.0,0.0
amount,0.0,0.0,0.0,1.0
an,1.0,0.0,1.0,0.0
and,15.0,10.0,8.0,10.0
android,3.0,0.0,0.0,0.0
angle,0.0,2.0,0.0,0.0
appealing,0.0,0.0,2.0,0.0
are,0.0,3.0,1.0,0.0
around,1.0,0.0,0.0,0.0
artist,0.0,1.0,0.0,0.0
as,0.0,4.0,0.0,2.0
at,0.0,1.0,0.0,0.0
aucuba,0.0,0.0,1.0,0.0
austin,0.0,1.0,0.0,0.0
away,0.0,1.0,0.0,0.0
banana,20.0,1.0,0.0,0.0
barn,0.0,1.0,0.0,0.0
bbqs,0.0,1.0,0.0,0.0
be,4.0,2.0,2.0,1.0
before,0.0,1.0,0.0,0.0
better,0.0,0.0,1.0,0.0
between,0.0,0.0,0.0,1.0
bit,1.0,2.0,0.0,0.0
black,2.0,0.0,1.0,0.0
block,0.0,0.0,3.0,0.0
bloody,0.0,0.0,1.0,0.0
blue,0.0,0.0,1.0,0.0
box,0.0,0.0,4.0,0.0
breakfast,1.0,0.0,0.0,1.0
broccoli,0.0,0.0,1.0,0.0
brooklyn,0.0,1.0,0.0,0.0
brown,2.0,0.0,0.0,0.0
bumps,0.0,0.0,0.0,1.0
bumpy,0.0,0.0,0.0,1.0
but,2.0,1.0,2.0,0.0
button,0.0,0.0,1.0,0.0
by,0.0,0.0,1.0,1.0
call,0.0,2.0,0.0,0.0
calorie,1.0,0.0,0.0,0.0
can,4.0,3.0,2.0,3.0
cannot,0.0,0.0,1.0,0.0
car,0.0,1.0,0.0,0.0
card,0.0,0.0,0.0,1.0
case,1.0,0.0,0.0,0.0
center,0.0,0.0,1.0,0.0
changed,1.0,1.0,0.0,0.0
cheese,0.0,0.0,3.0,0.0
children,0.0,0.0,2.0,0.0
clean,0.0,0.0,1.0,0.0
cleaners,1.0,0.0,0.0,0.0
cob,0.0,5.0,0.0,0.0
color,5.0,8.0,7.0,7.0
colored,0.0,0.0,1.0,0.0
combatant,0.0,0.0,0.0,1.0
complacency,0.0,0.0,1.0,0.0
complex,0.0,1.0,0.0,0.0
cone,0.0,1.0,0.0,0.0
contains,0.0,0.0,0.0,1.0
cooling,0.0,0.0,0.0,1.0
corn,0.0,17.0,0.0,0.0
corner,0.0,0.0,1.0,0.0
corners,0.0,0.0,1.0,0.0
could,0.0,2.0,0.0,0.0
countries,0.0,1.0,0.0,0.0
cream,0.0,1.0,0.0,0.0
cube,0.0,0.0,9.0,0.0
cubed,0.0,0.0,1.0,0.0
cubic,0.0,0.0,1.0,0.0
cubicle,0.0,0.0,1.0,0.0
cuboid,0.0,0.0,1.0,0.0
cucumber,0.0,0.0,0.0,15.0
cucumbers,0.0,0.0,0.0,1.0
cumberland,0.0,0.0,0.0,1.0
cut,0.0,0.0,0.0,1.0
cute,0.0,0.0,1.0,0.0
cylinder,0.0,0.0,0.0,1.0
dark,2.0,0.0,1.0,4.0
date,0.0,1.0,0.0,0.0
days,1.0,0.0,0.0,0.0
dean,1.0,0.0,0.0,0.0
dells,0.0,1.0,0.0,0.0
