Token,Type,2-corn/corn_2,2-corn/corn_3,2-corn/corn_4,0-cube/cube_3,4-cube/cube_4,0-cube/cube_1,4-cube/cube_3,0-cube/cube_4,3-banana/banana_4,3-corn/corn_4,3-corn/corn_3,3-corn/corn_2,0-corn/corn_2,0-corn/corn_3,0-corn/corn_4,3-cube/cube_4,3-cube/cube_1,3-cube/cube_3,2-cucumber/cucumber_2,2-cucumber/cucumber_3,0-banana/banana_4,0-banana/banana_2,0-banana/banana_3,2-cucumber/cucumber_4,1-banana/banana_3,1-banana/banana_2,1-banana/banana_4,2-cube/cube_3,5-corn/corn_2,1-corn/corn_4,0-cucumber/cucumber_2,0-cucumber/cucumber_3,0-cucumber/cucumber_4,1-corn/corn_3,1-corn/corn_2,3-cucumber/cucumber_4,3-cucumber/cucumber_3,3-cucumber/cucumber_2,4-cucumber/cucumber_4,5-cucumber/cucumber_3,2-banana/banana_4,4-cucumber/cucumber_3,4-corn/corn_4,4-corn/corn_2,4-corn/corn_3,2-cube/cube_4,1-cube/cube_1,2-cube/cube_1,1-cube/cube_4,1-cube/cube_3,1-cucumber/cucumber_4,1-cucumber/cucumber_3,1-cucumber/cucumber_2
,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
banana,rgb,9.804507857916577e-05,0.00041056800718243503,0.00033121686898890813,2.585277013854619e-20,0.9999999457063223,0.9999999999961657,6.96393322045036e-18,0.9999984532672251,0.9996143312325051,0.0003979903989050064,0.00046652772446483773,0.00013147171588706323,7.091795176073191e-05,0.0001741232574726983,0.00020596858695621164,0.9999999187739285,0.999999999994885,3.5231814874886426e-19,0.6251036070415404,0.8376702050098747,0.9999997032111639,0.9999139204789868,0.9999322837807609,0.36333020822521117,0.9999990780623897,0.9999835112192029,0.9999653544645357,1.3945344748977707e-19,0.00020572810885656799,0.0002679827217950582,0.5476739625133997,0.7263082173279034,0.5013450399228322,0.0003524898289012798,0.00012607290049998293,0.3547538666184488,0.8690728915091127,0.9161304349815017,0.2538927929673358,0.8420606585039845,0.9999999993321198,0.8543577413338158,0.00034062533967662374,0.0002378193536364791,0.0004785126730196941,0.9999998686698418,0.9999999999961484,0.9999999999961982,0.9999985806686912,6.231521272322278e-20,0.3787294662675888,0.946327463094423,0.7687496569248173
banana,shape,0.029749828987416266,0.00013483292143409944,0.0002812769483093051,0.9941417387712219,0.752955962794927,0.9896401229296712,0.4493600353703285,0.9926845618345218,0.9996319606069127,5.8197610337068996e-05,0.000190307908365539,2.593904410354256e-05,0.0009204212775472269,1.7347126473581725e-05,0.00037260958972125554,0.3732747820777935,0.8805463261563984,0.5617218096514969,0.9901666866762245,0.06506903369456557,0.999678658585905,0.9998699250933775,0.9999238088593194,0.8596473941674778,0.9999900121151197,0.9997447423307461,0.9994682037909416,0.8933280745675416,0.0019634778726279013,0.00010402429395677874,0.0008734396604080922,0.4234087390056483,0.0183340971096586,0.00011582058505205167,0.0009204212775472301,0.00017496456474024507,0.03287879475890106,0.27621671836877704,0.9565469888927792,0.9844018570208362,0.9999425681581685,0.001410880732325752,0.00025220410691530724,0.06227547427894128,0.0003936277556052863,0.8301872969913843,0.9856868554458392,0.3368954561931152,0.49308328764511666,0.9946692105302226,0.00034985006719777997,0.8290676003317679,0.21890720107395695
banana,object,0.0024671996310193026,9.014306371606157e-05,0.00014196589784577104,5.216753046786092e-07,0.9798786411856372,0.9999983849756275,1.384820646157961e-07,0.9961229684002869,0.999744324835195,5.811225018712334e-05,0.00012450191919284657,3.407567234634598e-05,0.0002314696090200514,1.7952007155446842e-05,0.00023032879435442064,0.9250297481102516,0.9999882207113364,4.226857914074443e-08,0.9677186999419584,0.27605633788532186,0.9998827663644617,0.9998721289731182,0.9999188845510997,0.6448229970781217,0.9999930769562303,0.9998617721512862,0.9996887743040392,1.4486128148054691e-07,0.00029167505699994337,6.59961321337319e-05,0.03441502158588889,0.6149231954509016,0.14471086381795237,6.519785245958521e-05,0.0002935753254809831,0.008106075678269873,0.3520226810105098,0.7961507270759377,0.7855726363144548,0.9889553196539017,0.9999983554633058,0.017028918809859416,0.00015165449475461858,0.002507870437414982,0.0003056989121346242,0.9825272062562864,0.9999980206555753,0.999949059161185,0.8822278420720335,6.342467771230808e-07,0.0061964485919142175,0.9168083272880487,0.3105619140537969
corn,rgb,0.9997558429041228,0.999875596292653,0.9998574768634582,8.957876765042098e-06,3.345146049430569e-05,0.9999999999987275,0.0006886110032913375,0.0002443862380812862,0.9999999925191917,0.9998732129591549,0.999884915707702,0.9997984203014066,0.9996988612636613,0.9998024644690594,0.9998075230622427,6.391155321242264e-05,0.9999999999982618,8.995735249130194e-05,0.9999999975663418,0.9999999991352371,0.9999999999806544,0.9999999741225418,0.9999999775526823,0.9999999933964927,0.9999999977120226,0.99999998963542,0.9999999994191842,5.351210446277423e-05,0.9998361406533159,0.9998369710191064,0.9999999977169867,0.999999998677007,0.9999999963962678,0.9998739379971406,0.9998093473113339,0.999999993161415,0.9999999991351665,0.9999999992959685,0.9999999865342655,0.9999999984803378,0.9999999999977185,0.9999999989590638,0.9998472230535492,0.9998624652032332,0.9998872296195774,5.3288901800916496e-05,0.9999999999986269,0.9999999999986311,0.00024092082752562337,2.446014203186746e-05,0.999999994237303,0.9999999996469531,0.9999999986125891
corn,shape,0.9999604570027056,0.999997030522219,0.9999995988702107,8.582663896857968e-05,6.896044120488594e-05,7.324805808384069e-06,3.576390263361963e-05,7.942553839017704e-06,0.9959838159186397,0.9999916952353802,0.9999852889360791,0.9999807808659266,0.9999640937709979,0.9999990671759931,0.9999096052192977,0.00010444820746858093,0.001133943030299718,0.0001649122210106549,0.9817067407396128,0.9998695190750285,0.999994684103197,0.9561508509724849,0.9999931115909804,0.9992454411618121,0.07589538449686543,0.9999994505636031,0.9976092500745367,0.00019039505667543363,0.9999948555993071,0.9999998680649856,0.9987907582353361,0.9997897393754454,0.9966167452338812,0.9999997195113884,0.9999640937709979,0.9994329221139544,0.9943729222994361,9.796650054212845e-05,0.9894598048267146,0.0027744528192133688,0.001442370057810827,0.9999976682287293,0.9999998635983076,0.9999969174744086,0.9995221336598691,6.346443799344086e-05,3.717439543488292e-06,0.0020921004248602403,7.461979145375594e-05,3.164760792615037e-05,0.9999961056275019,0.9880965068892538,0.999996732914358
corn,object,0.9999683897283405,0.999993233406006,0.999997936744947,4.3652575573254905e-05,3.7452009959087056e-05,0.9670786409236458,6.05300562656718e-05,1.9554152211688704e-05,0.9999963879216112,0.9999879295778747,0.9999792529700479,0.9999763500207797,0.9999618529148465,0.9999957563632358,0.9999415911522912,4.893247903224088e-05,0.9980085546409794,6.897437126723369e-05,0.9999844017035727,0.999999420798126,0.9999999890564931,0.9999831558157845,0.999999792643406,0.9999972515866632,0.9998303857766672,0.9999999692741518,0.9999979654512938,9.560987973915224e-05,0.9999916183041314,0.9999989403048687,0.9999974630627718,0.9999992927298811,0.9999951946251255,0.9999982015135416,0.9999681138567545,0.9999976037043516,0.9999954543756235,0.960377207304809,0.9999826353283785,0.994887012324665,0.9998833329764699,0.9999999358860033,0.9999988203811292,0.9999935921587617,0.9997292848097686,4.304217949096651e-05,0.9549798145538275,0.9986167594766273,7.254617836768367e-05,1.6344420844051984e-05,0.9999998291917093,0.9999956818054339,0.9999999266095655
cube,rgb,5.084361287281848e-07,4.4085098261655877e-07,4.363744843115105e-07,0.9999999986834522,0.9999983627677371,0.9989915639291563,0.9999828421369096,0.9959086916677287,8.853253926359416e-05,4.4039357617089376e-07,4.42879565798515e-07,5.114510990185824e-07,5.077706564597367e-07,4.5465045392831546e-07,4.293545533972363e-07,0.9999916955205074,0.9982311084401629,0.9999999121171228,0.0028670146256464437,0.00886858752616233,0.14981732612341214,4.072517233556397e-05,4.7600231017455096e-05,0.0010412625592632003,0.0009405555249985234,0.00011926054076761474,0.0014642749140047586,0.9999999893774006,4.858900280980016e-07,4.3263767346573664e-07,0.003987688893293278,0.006299607563403453,0.0020139697812457127,4.6631766775090764e-07,5.454905758823284e-07,0.0010063203001825522,0.007549588593332919,0.008083540232530372,0.00045387184260282823,0.0031693591043640054,0.9531870163229893,0.005831222435933849,4.091705650587603e-07,5.207970454813304e-07,4.449526946966056e-07,0.9999868742471304,0.9988995180001135,0.9989142721182945,0.9964308287201915,0.9999999965783057,0.0012541245500787292,0.021606527272889663,0.004980217296206792
cube,shape,1.0932085473462338e-06,0.018660595606145202,4.635103738111473e-06,0.9998890921742005,0.9999831500221977,0.9999228335355638,0.9999825287146655,0.9999984205390084,0.9940104715223093,9.724663582964433e-06,0.18401036205644788,1.930712479098659e-06,1.0353743541147605e-06,1.450841442403791e-05,8.895242558318591e-07,0.9999881567843077,0.9998954869546749,0.9999824468603525,0.010191795850942327,5.65616092677035e-06,0.1031872188307737,1.895993148551821e-05,0.00029677140378424745,1.3713203741144875e-05,7.23753036216267e-05,7.279552392657329e-05,2.3667308435137046e-06,0.9999862608384259,0.001719545178404381,7.053692019842465e-06,0.0009004535306596302,2.8860033800717953e-06,1.6921929933968845e-05,0.006271899007325496,1.035374354114764e-06,3.9571736026779005e-05,0.00017302200080812621,0.9981558883507041,0.00019377483729066873,0.0004104780659393912,0.0009333749707543868,5.794384811289718e-05,0.007820071106277256,0.0003785063938020404,0.999524482895241,0.9999959676982341,0.9999082047252354,0.9999303730514526,0.9999884673012163,0.9999965421956225,4.745618076802467e-06,1.354643545563073e-05,2.4594643579370523e-05
cube,object,8.879884883856639e-07,0.012708020126854376,3.463050211205959e-06,0.9999055510110596,0.9999904239198496,0.9999192437413118,0.9999848307824237,0.9999985132254794,0.9716810250821762,8.412680485574695e-06,0.12015654388388998,1.6601933432332226e-06,8.203837531882753e-07,1.1953441372404114e-05,7.919093968946905e-07,0.999993086095365,0.9998991015709011,0.9999872425141935,0.008675105010700327,5.500849393380706e-06,0.04340128862691339,9.168103698445209e-06,0.0001260747700765205,1.144682644884691e-05,4.422772419180451e-05,3.353718525155166e-05,2.2309168246680597e-06,0.9999907645334265,0.0011806656520207115,4.924614945430737e-06,0.0007399657344754498,2.6029806115905526e-06,1.5176713937996753e-05,0.0041031943578567895,8.196786237992995e-07,3.8628647854067807e-05,0.00017647094412236663,0.99561356957351,0.0001766234159963985,0.0003888753661260722,0.0007014712102249436,5.747910272119634e-05,0.004256270482381594,0.0002481962700112076,0.9988413291651407,0.9999973471516518,0.9999046349650885,0.9999355160769814,0.9999910782532804,0.9999976392383495,4.295913377444416e-06,1.30014165535554e-05,2.0508366377977196e-05
