,banana/banana_2,corn/corn_2,cube/cube_4,cucumber/cucumber_3
4,0.0,1.0,0.0,0.0
a,27.0,21.0,17.0,17.0
adaptive,0.0,0.0,0.0,1.0
advisable,0.0,0.0,0.0,1.0
again,3.0,3.0,3.0,0.0
age,0.0,0.0,1.0,0.0
all,0.0,1.0,0.0,0.0
almost,0.0,1.0,0.0,0.0
already,1.0,0.0,0.0,0.0
also,0.0,0.0,1.0,0.0
american,0.0,1.0,0.0,0.0
among,0.0,0.0,1.0,0.0
amount,0.0,0.0,0.0,1.0
and,9.0,10.0,4.0,10.0
angle,0.0,2.0,0.0,0.0
anna,1.0,0.0,0.0,0.0
another,2.0,0.0,0.0,0.0
answered,1.0,0.0,0.0,0.0
anything,0.0,0.0,1.0,0.0
are,4.0,3.0,1.0,0.0
artist,0.0,1.0,0.0,0.0
as,0.0,4.0,0.0,2.0
at,1.0,1.0,0.0,0.0
austin,0.0,1.0,0.0,0.0
away,0.0,1.0,0.0,0.0
b,1.0,0.0,0.0,0.0
bad,1.0,0.0,0.0,0.0
banana,27.0,1.0,0.0,0.0
bananas,2.0,0.0,0.0,0.0
bark,1.0,0.0,0.0,0.0
barn,0.0,1.0,0.0,0.0
bbqs,0.0,1.0,0.0,0.0
be,0.0,2.0,1.0,1.0
beal,1.0,0.0,0.0,0.0
been,1.0,0.0,0.0,0.0
before,0.0,1.0,0.0,0.0
berry,1.0,0.0,0.0,0.0
between,0.0,0.0,0.0,1.0
big,1.0,0.0,0.0,0.0
bit,1.0,2.0,0.0,0.0
black,1.0,0.0,0.0,0.0
block,0.0,0.0,4.0,0.0
blocks,0.0,0.0,1.0,0.0
boomerang,1.0,0.0,0.0,0.0
box,0.0,0.0,2.0,0.0
breakfast,1.0,0.0,0.0,1.0
bright,1.0,0.0,0.0,0.0
brooklyn,0.0,1.0,0.0,0.0
bumps,0.0,0.0,0.0,1.0
bumpy,0.0,0.0,0.0,1.0
but,1.0,1.0,3.0,0.0
by,0.0,0.0,0.0,1.0
call,0.0,2.0,0.0,0.0
can,2.0,3.0,0.0,3.0
candle,1.0,0.0,0.0,0.0
car,0.0,1.0,0.0,0.0
card,0.0,0.0,0.0,1.0
changed,0.0,1.0,0.0,0.0
children,0.0,0.0,1.0,0.0
chrysler,0.0,0.0,1.0,0.0
cob,0.0,5.0,0.0,0.0
color,7.0,8.0,8.0,7.0
colored,0.0,0.0,1.0,0.0
colors,0.0,0.0,1.0,0.0
combatant,0.0,0.0,0.0,1.0
complex,0.0,1.0,0.0,0.0
cone,0.0,1.0,0.0,0.0
contains,0.0,0.0,0.0,1.0
cooling,0.0,0.0,0.0,1.0
corn,0.0,17.0,0.0,0.0
corner,0.0,0.0,1.0,0.0
corners,0.0,0.0,1.0,0.0
could,0.0,2.0,0.0,0.0
countries,0.0,1.0,0.0,0.0
cream,0.0,1.0,0.0,0.0
cube,0.0,0.0,7.0,0.0
cubic,0.0,0.0,1.0,0.0
cuboid,0.0,0.0,1.0,0.0
cucumber,0.0,0.0,0.0,15.0
cucumbers,0.0,0.0,0.0,1.0
cue,0.0,0.0,1.0,0.0
cumberland,0.0,0.0,0.0,1.0
curved,2.0,0.0,0.0,0.0
cut,0.0,0.0,0.0,1.0
cute,0.0,0.0,1.0,0.0
cylinder,0.0,0.0,0.0,1.0
dark,0.0,0.0,0.0,4.0
date,0.0,1.0,0.0,0.0
deep,0.0,0.0,1.0,0.0
delicious,1.0,0.0,0.0,0.0
dells,0.0,1.0,0.0,0.0
did,1.0,0.0,0.0,0.0
different,1.0,1.0,0.0,0.0
direction,1.0,1.0,0.0,0.0
distorted,0.0,0.0,1.0,0.0
does,0.0,1.0,1.0,0.0
doesnt,0.0,0.0,1.0,0.0
dog,1.0,0.0,0.0,0.0
dont,1.0,1.0,2.0,0.0
dyed,0.0,0.0,1.0,0.0
eat,1.0,3.0,0.0,0.0
eating,0.0,2.0,0.0,0.0
edge,0.0,0.0,1.0,0.0
edges,0.0,0.0,1.0,0.0
ella,1.0,0.0,0.0,0.0
excedrin,0.0,0.0,1.0,0.0
expo,0.0,1.0,0.0,0.0
eyes,0.0,0.0,0.0,1.0
facing,0.0,1.0,0.0,0.0
fancy,0.0,0.0,1.0,0.0
far,0.0,0.0,0.0,1.0
find,0.0,0.0,1.0,0.0
focal,0.0,1.0,0.0,0.0
food,2.0,1.0,0.0,0.0
for,0.0,3.0,1.0,0.0
form,1.0,0.0,0.0,0.0
found,0.0,0.0,1.0,0.0
fresh,0.0,0.0,0.0,1.0
from,0.0,1.0,0.0,0.0
fruit,5.0,0.0,0.0,0.0
fuchsia,0.0,0.0,1.0,0.0
garden,0.0,1.0,0.0,0.0
give,1.0,0.0,0.0,0.0
going,0.0,1.0,0.0,0.0
gold,0.0,0.0,0.0,1.0
golden,0.0,1.0,0.0,1.0
gone,0.0,2.0,0.0,0.0
good,0.0,2.0,2.0,1.0
gray,0.0,1.0,0.0,0.0
green,2.0,0.0,0.0,20.0
greenish,1.0,0.0,0.0,0.0
guess,1.0,0.0,0.0,0.0
gumbo,0.0,0.0,0.0,1.0
has,3.0,0.0,1.0,3.0
have,1.0,3.0,0.0,2.0
having,0.0,1.0,0.0,1.0
head,1.0,1.0,0.0,0.0
healthy,1.0,1.0,0.0,0.0
hello,0.0,1.0,0.0,0.0
hit,0.0,0.0,1.0,0.0
hope,1.0,0.0,0.0,0.0
house,0.0,0.0,1.0,0.0
how,1.0,1.0,0.0,0.0
i,5.0,5.0,3.0,2.0
im,1.0,0.0,0.0,0.0
image,1.0,0.0,0.0,0.0
in,10.0,10.0,5.0,8.0
india,0.0,1.0,0.0,0.0
individual,0.0,1.0,0.0,0.0
info4pi,0.0,1.0,0.0,0.0
instead,0.0,1.0,0.0,0.0
is,20.0,23.0,10.0,17.0
isabella,1.0,0.0,0.0,0.0
it,11.0,8.0,6.0,12.0
italy,1.0,0.0,0.0,0.0
its,10.0,6.0,6.0,2.0
jokes,1.0,0.0,0.0,0.0
just,0.0,1.0,1.0,0.0
kernels,0.0,3.0,0.0,0.0
kind,0.0,1.0,0.0,0.0
