Token,Type,2-corn/corn_2,2-corn/corn_1,2-corn/corn_4,0-cube/cube_2,0-cube/cube_3,4-cube/cube_4,4-cube/cube_2,4-cube/cube_3,0-cube/cube_4,3-banana/banana_4,3-corn/corn_4,3-corn/corn_2,3-corn/corn_1,1-corn/corn_1,0-corn/corn_1,0-corn/corn_2,2-cube/cube_3,0-corn/corn_4,3-cube/cube_4,3-cube/cube_3,3-cube/cube_2,2-cucumber/cucumber_2,2-cucumber/cucumber_3,0-banana/banana_4,0-banana/banana_2,0-banana/banana_3,2-cucumber/cucumber_4,1-banana/banana_3,1-banana/banana_2,1-banana/banana_4,5-corn/corn_2,1-corn/corn_4,0-cucumber/cucumber_2,0-cucumber/cucumber_3,0-cucumber/cucumber_4,1-corn/corn_2,3-cucumber/cucumber_4,3-cucumber/cucumber_3,3-cucumber/cucumber_2,4-cucumber/cucumber_4,5-cucumber/cucumber_3,2-banana/banana_4,4-cucumber/cucumber_3,4-corn/corn_4,4-corn/corn_2,2-cube/cube_4,1-cube/cube_2,2-cube/cube_2,1-cube/cube_4,1-cube/cube_3,1-cucumber/cucumber_4,1-cucumber/cucumber_3,1-cucumber/cucumber_2
,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
banana,rgb,0.0033670781466054013,0.11751605718169211,0.012096500080435292,3.8760971774809773e-10,3.577347900779884e-21,1.0,4.102624878035491e-09,1.4114186841530655e-18,1.0,0.9983471210509652,0.013841325392293628,0.004167535527224728,0.13281599961395202,0.11532327589166179,0.10475193131059624,0.002649674155735802,9.043238042310429e-21,0.008486136084155984,1.0,3.740636731883872e-20,8.965038472102679e-09,0.00032691229178146623,0.00035993784141542644,0.9995573893226155,0.9999782196338439,0.9999812583383604,0.00029938289913105146,0.9999990564803616,0.9999929058844359,0.9975892199648659,0.006584107584174856,0.01033925286598816,0.00016214263484209718,0.00024124427162283539,0.0002719610432679149,0.0035461888386149054,0.00029848650265686886,0.000567333352139032,0.0009422989155094666,0.00043351843545537877,0.0011008510725304364,0.9999983263981272,0.0006440179027065172,0.014139102461520961,0.006439294073140413,1.0,5.461663601323645e-10,9.271409980596255e-10,1.0,5.066223721420834e-21,0.0002623832679857511,0.0006005133347387635,0.0003969748305198518
banana,shape,0.00022724124574836351,0.3902529465841608,0.003084894764383392,0.9486359878534745,0.994739188785109,0.6744925380304024,0.6773748264570814,0.38921012934460675,0.989562618401422,0.9999011269910477,9.667400833827413e-05,4.1219315914002684e-07,0.34175097927072123,0.04531783334614411,5.5442323682754686e-06,8.33789657499428e-06,0.542821938260579,8.118202824279034e-06,0.3936647904977967,0.5625178851713968,0.02926516004482632,0.105072730459972,0.00013301000141615965,0.9998095701146548,0.9998545847439458,0.9997170788352139,0.00032637291116978536,0.9999422842210934,0.999696207226288,0.9990802912171224,0.06065258072598243,0.0038119665644756025,0.00010519797869847719,0.00032872696372920104,5.639876229619087e-06,8.33789657499428e-06,9.874249462792241e-06,0.00014786238849663315,0.4871016471934702,0.0005571842454070321,0.0004637023122493118,0.999692122055109,0.00048633221939020383,0.21390907265160386,0.5391058808227146,0.5610601278927148,0.39148500886567195,0.040410380227449694,0.5885859620564138,0.9897471610622582,1.0284000842271751e-05,0.0003448417236011495,0.021240163592624053
banana,object,0.00031125762260458237,0.144495455762475,0.0022308325192020957,0.0011961527900334512,5.6543903014952235e-08,0.9999999979712426,0.0006298311475753103,2.004082664063314e-08,0.9999999987610235,0.9998998844991118,0.00029443792998412366,6.289506270151079e-06,0.23530369068940896,0.03226136846535009,9.749904361116304e-05,3.7161231298162256e-05,3.727982159211594e-09,4.9713133150907716e-05,0.9999999932586372,6.927678939463264e-09,7.081986167250257e-05,0.008953528321019965,0.00011399904576498123,0.9998628009265895,0.999887496076257,0.9998177598985026,0.000179704714238336,0.9999744379082575,0.9998455904578774,0.999349966078092,0.014504971638899118,0.002514492523128588,8.061287464476363e-05,0.00021026811513411895,1.064680912477726e-05,4.22047789809099e-05,1.7135263026018827e-05,0.0001319434964173673,0.05866936971417278,0.00032938546824170877,0.0002963651197196237,0.9998743797748082,0.0002874789139039351,0.0816950642379997,0.08044746061586892,0.999999995348686,0.00014046319340486313,3.2217318505198974e-05,0.9999999808579004,5.863268118987607e-08,1.6453789024573244e-05,0.0002688912881263424,0.0020663465956511605
block,rgb,1.9096478556931591e-07,1.7394784332686446e-07,1.5914680596847304e-07,0.9996826028875203,0.9999999997829427,0.9999989804245383,0.9619511460756859,0.9999943571702902,0.9960061437821054,3.42055929372052e-05,1.6019467367456906e-07,1.911912135876037e-07,1.7960842077949387e-07,1.9091212487570584e-07,1.8702664798255643e-07,1.9177348283562236e-07,0.9999999979394432,1.5771730464853117e-07,0.9999942930316894,0.9999999802479722,0.9923659848570513,0.0015209796133292403,0.004957146548231719,0.08748487886859359,1.4763336330877112e-05,1.7352889869607457e-05,0.0005286421779692026,0.00038439417627080994,4.495505587719132e-05,0.0006436194807756156,1.7972824049699441e-07,1.5827791923821847e-07,0.002169778911966912,0.0034824644459975638,0.0010542653482361558,2.0480268514505898e-07,0.0005101642005804836,0.004160311538906007,0.004438874265818591,0.00022111905070566312,0.001660705656463295,0.9311012478707318,0.0031678432785245433,1.4861917913953804e-07,1.9291274177655408e-07,0.9999907901875403,0.9988877421726764,0.9985972353684797,0.9965414219908425,0.9999999993908206,0.0006431734420915313,0.012566511705631863,0.002703348308901966
block,shape,2.140854024682958e-06,0.024229930180309323,5.690357380723298e-06,0.9999399318605283,0.9999023311758369,0.9999888014638516,0.999711158709862,0.9999779384336206,0.999998223638433,0.9953986351324374,1.4346889233574258e-05,3.0190174874544114e-06,0.9999314462805802,0.012528769695003494,3.862112057016678e-05,1.5702762291574015e-06,0.9999905437480554,1.6361264275466936e-06,0.9999894212652966,0.9999837055559998,0.9999772761020757,0.08005344568282395,6.753191235298486e-06,0.07995574291106784,5.90051700892671e-06,4.950208378266642e-05,2.2079630770318152e-05,2.8945160963635604e-05,2.201548994240426e-05,2.047043095729624e-06,0.001722475212419818,8.936265368671457e-06,0.0010926009528216803,4.3884211223130434e-06,2.1049527874662e-05,1.570276229157407e-06,7.489224756967842e-05,0.00012350140619942743,0.9970693280864626,0.008196581654693452,0.00022049277829815347,0.0008320433788730348,3.8447917111485665e-05,0.013388015448284307,0.0007551843910612392,0.9999976544893338,0.9999929059919301,0.9999777336432812,0.9999919291036228,0.9999958423074163,6.9162177164105936e-06,1.4059298126344709e-05,2.378267977963537e-05
block,object,1.6604222035093817e-06,0.013342748138207669,4.323948342453664e-06,0.9999324138546744,0.999893618522189,0.9999897267474368,0.9997178186075878,0.9999784608132044,0.9999976514199216,0.9707601181797484,1.0667610090885898e-05,2.2410831772692306e-06,0.9997682565127218,0.007581500986299265,3.231098049563896e-05,1.2016948309787635e-06,0.9999920575207623,1.357029040313118e-06,0.9999908991085061,0.9999869198551419,0.9999709419164273,0.06464664527649891,7.593944233335422e-06,0.04306912804688498,3.3422287612993973e-06,3.7752691970196665e-05,2.2594673003685598e-05,2.0977764004347352e-05,1.5230528206990704e-05,2.268765652932183e-06,0.0009761717770475377,6.147137588746417e-06,0.0007878828217679292,4.6882902418151525e-06,1.7183936259047522e-05,1.2046551547761094e-06,6.134340591209393e-05,0.00011882196517399518,0.9927997754128236,0.006406682191773766,0.00021019074759903223,0.0006303389187351018,4.2929822980309845e-05,0.006622278372295619,0.0005014979204895021,0.9999973966053273,0.9999908288317675,0.9999721699094741,0.999991052874174,0.999996887349521,7.07149701220166e-06,1.4110966885346383e-05,2.638546967825257e-05
corn,rgb,0.9999783216257341,0.9991175127343855,0.9999429296067749,1.0622559634062908e-06,0.9999999999999998,0.9999993116496952,2.8933646812359585e-05,0.9999999999999871,0.9999997444188957,0.0005312217846050638,0.9999309155210551,0.9999705004998881,0.998901998867568,0.9988357446038408,0.9990033387189731,0.999984523679329,0.9999999999999987,0.999965042127944,0.99999920364315,0.9999999999999982,2.093632149043855e-06,0.0010371861984230478,0.00017869463431735856,1.2944736168406331e-08,0.001353240393699459,0.0010307556091686716,0.0054956010966785455,9.858532740351814e-06,0.0002217680893001143,7.9024625484533e-06,0.9999574293826571,0.9999541701610933,0.0010075596438322574,0.0003847089849817558,0.002039962615985326,0.9999687307879493,0.005822724543036145,0.00016949859612090933,0.00011227874508619504,0.016795552336232797,0.0004064452647819697,4.93588911366326e-11,0.00022878227303815425,0.999947193307968,0.9999452298662412,0.9999995035589972,3.0599659846014563e-06,2.410343233274153e-06,0.9999997316612058,0.9999999999999996,0.004458003035408241,3.6247823848135965e-05,0.0003939955262482101
corn,shape,0.999528896444022,0.9999121912623415,0.9999641605592009,0.08484761003392816,0.925766369461966,0.9539271626327893,0.836170216691231,0.9443138133003965,0.35852708241844383,0.9999858083148282,0.999882689525112,0.9999002274133948,0.9996685874395129,0.9999577939871139,0.99951374245657,0.9991635941380641,0.9345348891136642,0.9997572835916071,0.8506225334368442,0.9208992390450836,0.9014650945539517,0.4803386675379332,0.000570564991524957,0.9764619129505314,3.448514374717925e-07,0.00019502531327609773,0.03182565913439036,1.5575266109066858e-08,0.027536781014064416,3.5725865076361423e-05,0.9998135518679975,0.9999849253418122,0.3632983029756163,0.00044577689852285665,0.003496494620553292,0.9991635941380641,0.8096263956812682,0.0002389756381409515,0.9194994974279386,0.6372478965138165,0.00018478027234927654,1.228275556611355e-06,0.0005375022216789877,0.999964178375465,0.9997804069510184,0.974819718898147,0.4665951271790994,0.8719614202929344,0.941596173729497,0.23625752186825694,0.9766377125539255,0.0001448085364244678,0.3880030514575176
corn,object,0.9998331476393758,0.9998996440034987,0.9999462906538548,4.962532008446994e-05,0.9999999269739397,0.9999999773176248,0.003626407135218112,0.9999997406084626,0.9999997735961434,0.9722070914741187,0.99995645988173,0.9999432318570419,0.9998049306186549,0.9999373505817322,0.9996748704987193,0.9997107699855339,0.9999998941532092,0.9998680538097885,0.9999999464584506,0.9999998629069043,0.0014003899937209937,0.01232121065674045,0.00025256512760640434,0.0004789222174118523,0.000114332964326772,0.0001249670968251109,0.003164950482308992,3.4668105422044737e-06,0.0021578751091564747,3.255376694678606e-05,0.9999530492611141,0.9999724807526048,0.013350205531389697,0.00020772834284382225,0.001619900841536054,0.9995931809171663,0.10014884713304013,0.00012897636034544147,0.025584433496851782,0.04766535374859115,0.00013668411094290523,8.28325667361274e-08,0.0002599107177210813,0.9999556490804008,0.9998126354701417,0.9999999838938665,0.0003210935166237949,0.001106122525902697,0.9999999593936776,0.9999994114691482,0.18233619603626391,5.4297305848293156e-05,0.0022000349666709516
