Token,Type,0-banana/banana_1,1-banana/banana_1,2-banana/banana_1,0-corn/corn_4,1-corn/corn_4,2-corn/corn_4,3-corn/corn_4,4-corn/corn_4,0-cube/cube_3,1-cube/cube_3,2-cube/cube_3,3-cube/cube_3,4-cube/cube_3,0-cucumber/cucumber_4,1-cucumber/cucumber_4,2-cucumber/cucumber_4,3-cucumber/cucumber_4,4-cucumber/cucumber_4
,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
an,rgb,0.0060080052684802765,0.0027450305371303713,0.002738517729645204,0.9998515334269292,0.9998096369184573,0.999767416905479,0.9997232670597068,0.9997653629508383,1.0,1.0,1.0,1.0,0.9999999999999998,0.3792145459442654,0.5062269956827209,0.5277343276296008,0.5373242337641514,0.6680122641952652
an,shape,0.0001243466178592907,0.0017211797553035638,0.4715946932960113,0.9999370288172638,0.9999764560444874,0.9999470778086317,0.9999847463962092,0.9998693652098506,0.4082307816936309,0.03595785593544724,0.7496464454670371,0.8620547648224286,0.9277011594620441,0.992762765644566,0.9999316011922013,0.4671990445686822,0.9999165630551862,0.8044668685801242
an,object,0.002500070067216165,0.0026248900061079956,0.07167759693737752,0.999949202411324,0.9999739159051788,0.9999555883978708,0.9999813901480962,0.9999117418937692,0.9999999972041949,0.9999999855522572,0.9999999973615523,0.9999999982250476,0.9999999947813452,0.9513927086919466,0.9964418298794999,0.6018556789389763,0.9966886578996418,0.791462547021284
banana,rgb,0.9991063606834173,0.9995932041600325,0.9997039112221696,0.00015163464756603402,0.00019563231362720933,0.0002398160769085853,0.0002858586206396448,0.0002756081821052798,4.262221165460756e-25,7.679578007915955e-25,1.6294714634738347e-24,7.165827087591013e-24,3.9148756858415273e-22,0.0001744424047045409,0.00014224681796220698,0.0001548390937977005,0.00015246297916932897,0.00017497426857481348
banana,shape,0.999897044666748,0.9998366848413986,0.9996304552134481,4.7990983095027564e-06,0.00025579289352852994,0.0006773781852385195,6.492597259651033e-06,0.0003545095196851113,0.9411178419343675,0.9562262790299283,0.28297094425475566,0.025594371359479944,0.009658423888758864,1.4026821282625274e-06,7.540847425120392e-06,0.6957403335044623,8.731394619615276e-07,0.7376372436991274
banana,object,0.9998781655192156,0.9998728874091453,0.9997516749093951,3.1649792923596714e-06,6.896823866670575e-05,0.00013469825250852016,6.297614188575904e-06,0.0002652385689763993,2.7832317067649434e-10,3.128616231367012e-10,4.157057710130746e-11,1.080012157988507e-11,3.055606403045161e-11,3.7645469688688185e-06,1.3997684689275911e-05,0.038277793514749164,3.803340050241966e-06,0.09156443345390816
block,rgb,3.45299190905536e-06,5.379986396120897e-06,4.722662144908305e-06,1.5771730464853117e-07,1.5827791923821847e-07,1.5914680596847304e-07,1.6019467367456906e-07,1.4861917913953804e-07,0.9999999997829427,0.9999999993908206,0.9999999979394432,0.9999999802479722,0.9999943571702902,0.0010542653482361558,0.0006431734420915313,0.0005286421779692026,0.0005101642005804836,0.00022111905070566312
block,shape,0.053231608484407264,0.9679487103559751,0.9565773904200726,1.6361264275466936e-06,8.936265368671457e-06,5.690357380723298e-06,1.4346889233574258e-05,0.013388015448284307,0.9999023311758369,0.9999958423074163,0.9999905437480554,0.9999837055559998,0.9999779384336206,2.1049527874662e-05,6.9162177164105936e-06,2.2079630770318152e-05,7.489224756967842e-05,0.008196581654693452
block,object,0.025772307572791597,0.8969252316870914,0.8235976480227478,1.357029040313118e-06,6.147137588746417e-06,4.323948342453664e-06,1.0667610090885898e-05,0.006622278372295619,0.999893618522189,0.999996887349521,0.9999920575207623,0.9999869198551419,0.9999784608132044,1.7183936259047522e-05,7.07149701220166e-06,2.2594673003685598e-05,6.134340591209393e-05,0.006406682191773766
corn,rgb,0.02012766418087492,0.008524087994652995,0.010480912726190355,0.999965042127944,0.9999541701610933,0.9999429296067749,0.9999309155210551,0.999947193307968,0.9999999999999998,0.9999999999999996,0.9999999999999987,0.9999999999999982,0.9999999999999871,0.002039962615985326,0.004458003035408241,0.0054956010966785455,0.005822724543036145,0.016795552336232797
corn,shape,4.426878420754561e-10,0.005230790900206425,0.695439725230928,0.9997572835916071,0.9999849253418122,0.9999641605592009,0.999882689525112,0.999964178375465,0.925766369461966,0.23625752186825694,0.9345348891136642,0.9208992390450836,0.9443138133003965,0.003496494620553292,0.9766377125539255,0.03182565913439036,0.8096263956812682,0.6372478965138165
corn,object,3.3562453345093095e-05,0.025379621926375287,0.5969481217245509,0.9998680538097885,0.9999724807526048,0.9999462906538548,0.99995645988173,0.9999556490804008,0.9999999269739397,0.9999994114691482,0.9999998941532092,0.9999998629069043,0.9999997406084626,0.001619900841536054,0.18233619603626391,0.003164950482308992,0.10014884713304013,0.04766535374859115
cube,rgb,3.45299190905536e-06,5.379986396120897e-06,4.722662144908305e-06,1.5771730464853117e-07,1.5827791923821847e-07,1.5914680596847304e-07,1.6019467367456906e-07,1.4861917913953804e-07,0.9999999997829427,0.9999999993908206,0.9999999979394432,0.9999999802479722,0.9999943571702902,0.0010542653482361558,0.0006431734420915313,0.0005286421779692026,0.0005101642005804836,0.00022111905070566312
cube,shape,0.053231608484407264,0.9679487103559751,0.9565773904200726,1.6361264275466936e-06,8.936265368671457e-06,5.690357380723298e-06,1.4346889233574258e-05,0.013388015448284307,0.9999023311758369,0.9999958423074163,0.9999905437480554,0.9999837055559998,0.9999779384336206,2.1049527874662e-05,6.9162177164105936e-06,2.2079630770318152e-05,7.489224756967842e-05,0.008196581654693452
cube,object,0.025772307572791597,0.8969252316870914,0.8235976480227478,1.357029040313118e-06,6.147137588746417e-06,4.323948342453664e-06,1.0667610090885898e-05,0.006622278372295619,0.999893618522189,0.999996887349521,0.9999920575207623,0.9999869198551419,0.9999784608132044,1.7183936259047522e-05,7.07149701220166e-06,2.2594673003685598e-05,6.134340591209393e-05,0.006406682191773766
cucumber,rgb,0.00023081816544287943,0.0002763292004685882,0.00016543863680880494,0.0002064796770024151,0.00021630232725973415,0.00022517008556887592,0.0002335639540446979,0.00018245784606361776,0.9997456069487083,0.9998665702717316,0.9998884772788919,0.9997020944197135,0.9984135071857606,0.9998144559315147,0.9996513825372373,0.999530041986708,0.9995077011181279,0.9982877081165523
cucumber,shape,0.9999999995379074,0.9999999109600172,0.9908642400509009,0.004235684463591632,0.07181495368854443,0.07844486245838993,0.30869632212818154,0.016939630188617633,0.9998373797254676,0.9999999603018548,0.9999998994040643,0.9999999242198312,0.9999989699752769,0.999975348409285,0.9992575632073256,0.9996608219907871,0.9998184106434308,0.9997028038727769
cucumber,object,0.9911875556029198,0.9851184471379489,0.359895824192285,0.0004620260043947191,0.002392820517482449,0.0024705198863225245,0.005082880184010502,0.0006235792861719692,0.8374846145860481,0.9965513534198395,0.9973332924298305,0.9959058695659299,0.9804225904124512,0.9999275784998931,0.9996351446074601,0.999789537768315,0.9998953410124881,0.9997691841844456
ear,rgb,0.02012766418087492,0.008524087994652995,0.010480912726190355,0.999965042127944,0.9999541701610933,0.9999429296067749,0.9999309155210551,0.999947193307968,0.9999999999999998,0.9999999999999996,0.9999999999999987,0.9999999999999982,0.9999999999999871,0.002039962615985326,0.004458003035408241,0.0054956010966785455,0.005822724543036145,0.016795552336232797
ear,shape,4.426878420754561e-10,0.005230790900206425,0.695439725230928,0.9997572835916071,0.9999849253418122,0.9999641605592009,0.999882689525112,0.999964178375465,0.925766369461966,0.23625752186825694,0.9345348891136642,0.9208992390450836,0.9443138133003965,0.003496494620553292,0.9766377125539255,0.03182565913439036,0.8096263956812682,0.6372478965138165
ear,object,3.3562453345093095e-05,0.025379621926375287,0.5969481217245509,0.9998680538097885,0.9999724807526048,0.9999462906538548,0.99995645988173,0.9999556490804008,0.9999999269739397,0.9999994114691482,0.9999998941532092,0.9999998629069043,0.9999997406084626,0.001619900841536054,0.18233619603626391,0.003164950482308992,0.10014884713304013,0.04766535374859115
green,rgb,0.0008346615249638164,0.0012370407004263847,0.00041835132155680513,0.0002632523682708656,0.0002984585932002131,0.00033202629181350535,0.00036545020351045894,0.00021355103891333659,0.9999999851418391,0.9999999971785276,0.999999998565136,0.9999999925182143,0.999999920255389,0.9999999999993567,0.9999999999975668,0.9999999999954761,0.9999999999950095,0.9999999999323699
green,shape,0.999999999995145,0.9999999998351061,0.9994602823989696,0.002531793106582601,0.07052159262128767,0.059623779692388544,0.30413326897829474,0.07415451936283714,0.9999870465005058,0.9999999996229927,0.9999999858202964,0.9999999943408655,0.9999998560067539,0.9999666992875832,0.9991665560597508,0.9997478814887716,0.9997802183710612,0.9996937999021971
green,object,0.999350722031205,0.9998470413261531,0.9170972932221507,0.00023659703158711892,0.0023392754582896532,0.0018038178637242853,0.005627559843176537,0.00153208876495705,0.07149103268820525,0.9222442294216673,0.8734023118434172,0.849319100203709,0.5725266512455477,0.9999091567207591,0.9996115679907177,0.9997978370721562,0.9998798167375053,0.9997496482504066
on,rgb,0.9999997495421239,0.9999997986329466,0.9999998891829202,0.9995708734306716,0.999604445411379,0.9996284036778432,0.9996473013294649,0.9997103423195834,1.4149739461989884e-13,1.0772809121398687e-13,1.3294868502296836e-13,6.397962612009277e-13,1.901400589227056e-11,0.0008888340572249477,0.0013956413264589866,0.001883944146105006,0.001947140048935206,0.006132603289445477
on,shape,0.9441563931272999,0.8850269478282816,0.9974553838930091,0.9997370929299985,0.9998883303538556,0.9996520129029507,0.9999724758360622,0.9999033523252836,0.8237178330152675,0.9805435638206599,0.9941529184045133,0.9926867354412063,0.9807648347228949,0.9948934817754644,0.9999810746652882,0.7274856606748392,0.1661358608045659,0.004997871276654465
on,object,0.9987289172931983,0.9938330805933783,0.9996982905006103,0.9998451260252905,0.9999107115660524,0.9997844454888386,0.9999720867139493,0.9999465297068176,0.05636433795965164,0.3133367723645271,0.4085467411643438,0.5240805895285159,0.455886987647213,0.9179391657260505,0.9984145029608008,0.3592299353758618,0.040074531740388164,0.004888240965342028
the,rgb,0.03491606343814244,0.015667607531277584,0.019060409989753845,0.9999544305624716,0.9999411899206497,0.9999276908687249,0.999913431704832,0.9999328735301841,0.9999999999999989,0.9999999999999964,0.9999999999999922,0.9999999999999891,0.9999999999999323,0.003697557488845087,0.007735032960604627,0.009429999821224862,0.009958148176511451,0.027018074782483546
the,shape,9.795217514566463e-10,0.0031907368596007534,0.8138996730517335,0.9998308933291977,0.999979825726351,0.9999632450300308,0.9999012886039332,0.9998833914806512,0.9366910015388328,0.17889323367203216,0.9438091784919463,0.8665401393518446,0.9092844077181409,0.006041697069855802,0.9878350309647635,0.062245051806952854,0.7857841778490647,0.6889559527983016
the,object,4.383422728261831e-05,0.02105677176013552,0.6499609485551873,0.9998768626812471,0.9999682066276084,0.9999454126675796,0.9999535135854959,0.9999342160621625,0.9999998414707305,0.9999985536997481,0.9999998036749197,0.9999996894562094,0.9999993961719726,0.0029052315936736943,0.2809821475322792,0.00659443045403493,0.11008429064902389,0.07661521634985882
yellow,rgb,0.9999689908985951,0.9999711409117525,0.9999821728575635,0.9980501664259898,0.9981116250982555,0.9981550541713429,0.998188994429177,0.9984887493159698,4.146386456128026e-09,2.938955154759031e-09,3.120111017800052e-09,9.872140811525596e-09,1.0384708836501902e-07,0.0009831247772758643,0.0015147039616615183,0.0019509241364970439,0.0020137546368824083,0.005459513193213784
yellow,shape,0.9998394355029576,0.9997437852167006,0.9998105916865936,1.5457851542806376e-05,0.06802008747887986,0.05650318673637938,0.5433349296784996,0.8934569835919522,0.9991539703443275,0.9999968840117347,0.9999720645936253,0.9998490490582502,0.999887907825195,0.0002463283026820683,0.009314328700200903,0.3440671155927188,0.0019278449781858112,0.20816627979714392
yellow,object,0.9999101146430784,0.9998631374620696,0.9999240424389133,0.01712306904962137,0.7213010269002954,0.6912262316064228,0.9517729717824813,0.9848226183065382,0.000139651911264217,0.0026982439026549837,0.0013992302841773839,0.0014431274589049132,0.004610098459726628,0.00029701853980017393,0.002906270251842119,0.017188096520950723,0.0013764607827080704,0.01718157049857403
