Token,Type,2-corn/corn_2,2-corn/corn_3,2-corn/corn_1,0-cube/cube_2,4-cube/cube_4,0-cube/cube_1,4-cube/cube_2,0-cube/cube_4,3-banana/banana_4,3-corn/corn_3,3-corn/corn_2,3-corn/corn_1,0-corn/corn_1,0-corn/corn_2,0-corn/corn_3,3-cube/cube_4,3-cube/cube_1,3-cube/cube_2,2-cucumber/cucumber_2,2-cucumber/cucumber_3,0-banana/banana_4,2-cucumber/cucumber_1,0-banana/banana_2,0-banana/banana_3,1-banana/banana_3,1-banana/banana_2,1-banana/banana_4,0-cucumber/cucumber_1,0-cucumber/cucumber_2,0-cucumber/cucumber_3,1-corn/corn_1,1-corn/corn_3,1-corn/corn_2,5-corn/corn_2,3-cucumber/cucumber_3,3-cucumber/cucumber_2,3-cucumber/cucumber_1,5-cucumber/cucumber_3,2-banana/banana_4,4-cucumber/cucumber_1,4-cucumber/cucumber_3,4-corn/corn_2,4-corn/corn_3,2-cube/cube_4,1-cube/cube_2,1-cube/cube_1,2-cube/cube_1,2-cube/cube_2,1-cube/cube_4,1-cucumber/cucumber_1,1-cucumber/cucumber_3,1-cucumber/cucumber_2
,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
an,rgb,0.9999227703471125,0.9997150447877494,0.9967115392559753,0.4165985033724339,3.975534408921431e-05,2.705909523722645e-11,0.7123787241523338,0.0006366256839908966,0.0011180101548606638,0.999678635310917,0.9998980114103022,0.9960147596349821,0.996610632000379,0.9999431575302465,0.9998712275949623,5.320006962767557e-05,3.716103582571371e-11,0.2548819787468345,0.2694995945323954,0.10297438938125815,7.406687964709152e-07,0.062332427178231085,0.0004088628860261472,0.00032451255306160086,5.3727126294220335e-06,8.417402544138043e-05,8.597246265308274e-05,0.021345278207849646,0.3198113342126073,0.17912660343807474,0.9961018181593569,0.9997491037044322,0.9999003074603792,0.9998467383457642,0.08563807160088892,0.05614393235114665,0.44714828563357506,0.11380306780314271,2.603061689086136e-09,0.798985024433707,0.09775638529645418,0.9998212277389016,0.9996705463350499,8.351975822288983e-05,0.5536010885444518,2.7617966383275374e-11,2.7290538297406854e-11,0.4661444858380022,0.0005907111297880112,0.059846670633788554,0.03288625344602918,0.15545327302668302
an,shape,0.9996158696928751,0.9999267872312197,0.999159871615095,0.08597256283997999,0.826456359465763,0.21999604628384095,0.8388566584513795,0.031050692521943132,0.0002377424852834335,0.9998893008998216,0.9999907934157164,0.9952042332264975,0.9999680839120564,0.9998380142344973,0.9999923350584262,0.8962592047600649,0.6868348259136341,0.946601028064343,0.5697627060265164,0.9805228203670807,0.0002083835719939228,0.951497508032327,0.0033289295698980957,0.00017257968413813586,8.394770008417215e-05,0.021616967818932135,0.00035608816542195663,0.9768107221386626,0.9991042242703115,0.9867672088516892,0.99990078468748,0.9998563592628862,0.9998380142344973,0.9998297814245883,0.9624220019767048,0.930702476349734,0.9791184295275905,0.922709405263347,0.00010385671374510075,0.5927356268840983,0.9984324669713097,0.9995493317420197,0.9997164309469312,0.7532548421945836,0.5108056536610456,0.32089340395546323,0.9687680891454039,0.9434475887366578,0.723333830381066,0.9988277175589023,0.20851874582501861,0.8902090743698462
an,object,0.9998243720291756,0.9999578401804473,0.9995955326621121,0.23973283252880406,0.267376181617714,1.8395450365150097e-05,0.8834098349302851,0.06365882364663258,0.00015441200552466792,0.9999318412362806,0.9999887828411338,0.9963014911998436,0.9999269344816194,0.999938998314649,0.9999916729783886,0.41939940107757495,6.417001488236135e-05,0.7803793380514823,0.5405129016635439,0.7976219491135638,7.662288766005183e-05,0.6789423689438816,0.0020425869320823044,0.00011219384858617232,4.9378263508757275e-05,0.0013022270001203024,0.00020682829881074507,0.6851319804846295,0.9791449490079933,0.7892358453291195,0.999866751442592,0.9999342906335822,0.9999204705404412,0.9999368118747747,0.7605168900539615,0.5868541199573098,0.9144220046684667,0.6166976208532177,5.034147549925209e-06,0.7696485006409988,0.9764546320691705,0.9997983163484945,0.9998389309166057,0.2462936903526248,0.5922595122081817,2.4063638772795085e-05,0.00023557353336186012,0.8467093780020714,0.4808744778630933,0.9451821724056056,0.12242772565414627,0.676363926152459
banana,rgb,5.473235888507484e-05,0.0002948034558105426,0.00452533467037073,1.5320443363266486e-09,1.0,0.9999999999298448,7.70166688855456e-09,1.0,0.9976273606549907,0.00033456892963944126,7.222240940432998e-05,0.005439656342254453,0.004091149491570534,4.016749887989721e-05,0.000116223087740982,1.0,0.9999999999296763,2.9283106834330605e-08,0.00024195144809263376,0.00038839431578212324,0.9999340676622801,0.001205857464545679,0.999959304261901,0.9999669053338518,0.9999993608149282,0.9999908751905564,0.9986057250800382,0.00140946568902611,0.00012196033503192406,0.00022198848942752648,0.00470286300461707,0.00022868971598337753,6.233508976043882e-05,0.00012295704478161156,0.000615177025421896,0.0011082796698986051,0.0002316495133228441,0.000979771787717883,0.9999999185979604,8.365174848408934e-05,0.000653527292787448,0.0001269731400096761,0.0003409361728387808,1.0,1.7109049169751684e-09,0.9999999999363733,0.9999999999373228,3.034399884876998e-09,1.0,0.0007591059614396118,0.0009064685675674009,0.000360857808768584
banana,shape,0.0001585858455611934,0.00012836492756584906,0.0003469077648522474,0.7647053056907336,0.13601647619847163,0.40529782992763536,0.02251740037344152,0.9704406838607685,0.9996252165229996,6.787144120162823e-05,8.873530569987773e-08,0.006490509109671015,1.8060517792031639e-06,4.048039059465379e-06,7.865636375214227e-06,0.020596153037128657,0.10694512815200878,0.015184489747401364,0.9510649914052881,0.0001142663628286004,0.9996449820022456,0.0004974891813832298,0.9998172027370485,0.9997691525405208,0.999987028918111,0.9997725734072788,0.9990832453240623,5.672000870370959e-06,5.692537844016923e-06,0.00032225138733052514,7.187683194484788e-05,0.00010809561028146711,4.04803905946535e-06,4.5643303243603286e-05,5.936052838458541e-05,0.009794956426153037,0.0737702622994679,0.00037601184710851207,0.9998643793417158,0.037466625977090905,0.00021968688805519923,0.0006151823095545892,0.0003249952968887882,0.18510908632957712,0.19196765800786994,0.34838501263366833,0.003870412225363379,0.02639030481537788,0.10574326845388379,4.330407930329852e-06,0.000358565951012969,0.14234004950288753
banana,object,3.844240615382931e-05,7.018899986057105e-05,0.00030192578907352704,0.001905396143647743,0.9999968168413331,0.9998701533075951,0.00011453234220383244,0.999999207703864,0.9997682655512633,6.003446579340893e-05,1.4534220422727276e-07,0.00377446639659313,6.763819660308135e-06,1.3488871887355353e-06,4.9958888635397995e-06,0.9999804406147197,0.9995991273692352,0.00021026909066793192,0.26662426871464323,9.426768202778063e-05,0.9998266132012313,0.0007130723503742456,0.9998578414269426,0.9998455162621531,0.999995015684365,0.9998933891634879,0.9993952900487217,2.3569241864740727e-05,1.4864170059148746e-05,0.00026227022890784927,0.00010542367702014119,5.8525123496695413e-05,1.6691850286510036e-06,1.864213675677272e-05,8.07688760174682e-05,0.006150618815996829,0.010607414903936796,0.0002739739173811523,0.9999892118016647,0.00328187271826634,0.00016679916304939682,0.00028393455590092724,0.0002127998587953496,0.9999961190041855,0.0003393430886607647,0.9998592287793934,0.9967008211955696,0.0001245923908433608,0.9999714287168665,1.7535557829734635e-05,0.0002714173679546349,0.012835027333416139
block,rgb,1.9096478556931591e-07,1.6028580093474318e-07,1.7394784332686446e-07,0.9996826028875203,0.9999989804245383,0.9987130044513861,0.9619511460756859,0.9960061437821054,3.42055929372052e-05,1.607165740972857e-07,1.911912135876037e-07,1.7960842077949387e-07,1.8702664798255643e-07,1.9177348283562236e-07,1.6802755018775937e-07,0.9999942930316894,0.9976756886444177,0.9923659848570513,0.0015209796133292403,0.004957146548231719,0.08748487886859359,0.0034662000571539344,1.4763336330877112e-05,1.7352889869607457e-05,0.00038439417627080994,4.495505587719132e-05,0.0006436194807756156,0.015576309379922744,0.002169778911966912,0.0034824644459975638,1.9091212487570584e-07,1.7051930717814069e-07,2.0480268514505898e-07,1.7972824049699441e-07,0.004160311538906007,0.004438874265818591,0.0005483983985456149,0.001660705656463295,0.9311012478707318,0.00018876703315875645,0.0031678432785245433,1.9291274177655408e-07,1.614417750946203e-07,0.9999907901875403,0.9988877421726764,0.998588519978328,0.9986083300539899,0.9985972353684797,0.9965414219908425,0.005910806102479524,0.012566511705631863,0.002703348308901966
block,shape,2.140854024682958e-06,0.016757179753668507,0.024229930180309323,0.9999399318605283,0.9999888014638516,0.9998929762394242,0.999711158709862,0.999998223638433,0.9953986351324374,0.26686985151890097,3.0190174874544114e-06,0.9999314462805802,3.862112057016678e-05,1.5702762291574015e-06,2.082578626645879e-05,0.9999894212652966,0.9999103242965207,0.9999772761020757,0.08005344568282395,6.753191235298486e-06,0.07995574291106784,0.10168323374466398,5.90051700892671e-06,4.950208378266642e-05,2.8945160963635604e-05,2.201548994240426e-05,2.047043095729624e-06,2.1679892255267396e-05,0.0010926009528216803,4.3884211223130434e-06,0.012528769695003494,0.005476071941652774,1.570276229157407e-06,0.001722475212419818,0.00012350140619942743,0.9970693280864626,0.00012102082835933385,0.00022049277829815347,0.0008320433788730348,0.9976905096627786,3.8447917111485665e-05,0.0007551843910612392,0.9997641092698217,0.9999976544893338,0.9999929059919301,0.9999059538538023,0.999954692498776,0.9999777336432812,0.9999919291036228,8.018926705872679e-06,1.4059298126344709e-05,2.378267977963537e-05
block,object,1.6604222035093817e-06,0.009781741043018011,0.013342748138207669,0.9999324138546744,0.9999897267474368,0.9998979019817658,0.9997178186075878,0.9999976514199216,0.9707601181797484,0.16799929095630994,2.2410831772692306e-06,0.9997682565127218,3.231098049563896e-05,1.2016948309787635e-06,1.5199277110343874e-05,0.9999908991085061,0.9999118459746305,0.9999709419164273,0.06464664527649891,7.593944233335422e-06,0.04306912804688498,0.07170230740754613,3.3422287612993973e-06,3.7752691970196665e-05,2.0977764004347352e-05,1.5230528206990704e-05,2.268765652932183e-06,2.0583886737179103e-05,0.0007878828217679292,4.6882902418151525e-06,0.007581500986299265,0.0034564141759074298,1.2046551547761094e-06,0.0009761717770475377,0.00011882196517399518,0.9927997754128236,0.00011696890591750533,0.00021019074759903223,0.0006303389187351018,0.9937049721135458,4.2929822980309845e-05,0.0005014979204895021,0.9991800931253685,0.9999973966053273,0.9999908288317675,0.9999061570917114,0.9999561573995566,0.9999721699094741,0.999991052874174,8.593206528498222e-06,1.4110966885346383e-05,2.638546967825257e-05
